task_id,source_model_path,candidate_score,base_score,delta_score,candidate_cost,base_cost,candidate_correctness,official_status,verify_error
task284,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task284.onnx,13.951446,13.475808,0.475638,62853,101133,pass,pass,
task313,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task313.onnx,13.836320,13.666536,0.169784,70522,83572,pass,pass,
task332,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task332.onnx,15.998407,15.896132,0.102275,8116,8990,pass,pass,
task021,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task021.onnx,14.226412,14.156056,0.070356,47743,51223,pass,pass,
task301,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task301.onnx,13.973077,13.918042,0.055035,61508,64988,pass,pass,
task342,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task342.onnx,15.640120,15.594669,0.045451,11613,12153,pass,pass,
task203,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task203.onnx,13.645578,13.610350,0.035228,85342,88402,pass,pass,
task293,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task293.onnx,14.917070,14.882571,0.034499,23931,24771,pass,pass,
task157,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task157.onnx,13.736703,13.720243,0.016460,77909,79202,pass,pass,
task367,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task367.onnx,13.138145,13.125192,0.012952,141755,143603,pass,pass,
task077,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task077.onnx,13.043056,13.032857,0.010198,155896,157494,pass,pass,
task382,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task382.onnx,13.541763,13.532302,0.009461,94678,95578,pass,pass,
task233,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task233.onnx,10.686881,10.679645,0.007236,1644783,1656727,pass,pass,
task285,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task285.onnx,12.118802,12.112180,0.006622,392856,395466,pass,pass,
task343,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task343.onnx,14.741078,14.736882,0.004196,28536,28656,pass,pass,
task209,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task209.onnx,13.288765,13.285310,0.003455,121934,122356,pass,pass,
task044,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task044.onnx,14.356673,14.354527,0.002145,41912,42002,pass,pass,
task017,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task017.onnx,14.570513,14.570513,0.000000,33843,33843,pass,pass,
task036,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task036.onnx,13.710918,13.710918,0.000000,79944,79944,pass,pass,
task051,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task051.onnx,13.866448,13.866448,0.000000,68429,68429,pass,pass,
task058,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task058.onnx,15.314295,15.314295,0.000000,16086,16086,pass,pass,
task065,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task065.onnx,14.534186,14.534186,0.000000,35095,35095,pass,pass,
task080,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task080.onnx,14.353266,14.353266,0.000000,42055,42055,pass,pass,
task096,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task096.onnx,12.827184,12.827184,0.000000,193458,193458,pass,pass,
task115,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task115.onnx,16.676634,16.676634,0.000000,4119,4119,pass,pass,
task117,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task117.onnx,15.202318,15.202318,0.000000,17992,17992,pass,pass,
task134,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task134.onnx,15.576162,15.576162,0.000000,12380,12380,pass,pass,
task267,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task267.onnx,17.904107,17.904107,0.000000,1207,1207,pass,pass,
task286,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task286.onnx,13.003421,13.003421,0.000000,162199,162199,pass,pass,
task357,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task357.onnx,16.209427,16.209427,0.000000,6572,6572,pass,pass,
task358,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task358.onnx,13.356739,13.356739,0.000000,113921,113921,pass,pass,
task383,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task383.onnx,13.246162,13.246162,0.000000,127241,127241,pass,pass,
task128,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task128.onnx,13.538115,13.693373,-0.155258,95024,81359,pass,pass,
task255,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task255.onnx,10.670621,11.622086,-0.951465,1671745,645586,pass,pass,
task020,data/kaggle_code_single_task/extracted_onnx/galaxy2025_neurogolf_public_artifact_v1/task020.onnx,13.833898,16.061600,-2.227701,70693,7619,pass,pass,
