task,source,status,before_cost,after_cost,before_points,after_points,delta_points,changed,reverted,prune_saved,dedup_saved,scalar_saved,axis_saved,const_axis_saved,identity_count,identity_rewired,n_pass,n_fail,error
task001.onnx,override,ok,2843,2843,17.04738489,17.04738489,0.00000000,False,False,0,0,0,0,0,0,0,268,0,
task002.onnx,override,ok,97293,97293,13.51451768,13.51451768,0.00000000,False,False,0,0,0,0,0,0,0,268,0,
task003.onnx,override,ok,1190,1190,17.91829141,17.91829141,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task004.onnx,base,ok,55020,55020,14.08454797,14.08454797,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task005.onnx,override,ok,117225,117225,13.32814956,13.32814956,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task006.onnx,override,ok,1631,1631,17.60305140,17.60305140,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task007.onnx,override,ok,7271,7271,16.10835089,16.10835089,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task008.onnx,override,ok,23288,23288,14.94430651,14.94430651,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task009.onnx,base,ok,81241,81241,13.69482468,13.69482468,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task010.onnx,override,ok,5015,5015,16.47981130,16.47981130,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task011.onnx,base,ok,66247,66247,13.89885454,13.89885454,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task012.onnx,override,ok,12639,12639,15.55545745,15.55545745,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task013.onnx,base,ok,116882,116882,13.33107984,13.33107984,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task014.onnx,override,ok,39049,39049,14.42742745,14.42742745,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task015.onnx,override,ok,900,900,18.19760524,18.19760524,0.00000000,False,False,0,0,0,0,0,0,0,265,0,
task016.onnx,base,ok,10,10,22.69741491,22.69741491,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task017.onnx,override,ok,34283,33843,14.55759512,14.57051254,0.01291742,True,False,0,0,440,0,0,0,0,266,0,
task018.onnx,override,ok,476184,476184,11.92644039,11.92644039,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
task019.onnx,override,ok,81346,81346,13.69353306,13.69353306,0.00000000,False,False,0,0,0,0,0,0,0,267,0,
task020.onnx,base,ok,90133,70693,13.59095836,13.83389816,0.24293980,True,False,0,0,0,180,0,0,0,266,0,
task021.onnx,override,ok,51223,47743,14.15605607,14.22641226,0.07035619,True,False,0,0,0,1740,0,0,0,77,0,
task022.onnx,override,ok,34821,34821,14.54202407,14.54202407,0.00000000,False,False,0,0,0,0,0,0,0,266,0,
