source,task_id,onnx_path,container,sha256,size_bytes,extract_status
aliafzal9323__neurogolf-2026-tiny-onnx-solver,,,data/kaggle_code_single_task/outputs/aliafzal9323__neurogolf-2026-tiny-onnx-solver/submission.zip,,,zip_error:TypeError:unsupported operand type(s) for +: 'WindowsPath' and 'str'
jonathanchan__ngc26-constraint-smart-logic-mix-blending,,,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/submission.zip,,,zip_error:TypeError:unsupported operand type(s) for +: 'WindowsPath' and 'str'
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task000,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task000.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task000.onnx,e3b1bdcfea9b34b45a39743a0d6f25560cd5958a70663f615a7b4c513f76c6e2,2404,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task001,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task001.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task001.onnx,ffe6bc8b1bf3e6ec75dc2e92c52269d41453f6289b01a1eb2aa3e8992c178f4e,1049,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task002,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task002.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task002.onnx,7d383afb96531ea0679a41689742fbd566f830712cfdd18b0520a7c29611c9ea,28687,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task003,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task003.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task003.onnx,ef0f09f3020de660bef17613b7b8bcf4740f57e58f250e31d980f7a880633bed,4119,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task004,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task004.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task004.onnx,b278f48508b2671ad6aac6089a3bd17fc264dc6a5e698fe11b9266a83e9e3c1a,2672,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task005,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task005.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task005.onnx,1e5a397a033804490d49b859dcdf89abed719f7a654d197f705751a4c646680c,15449,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task006,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task006.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task006.onnx,df495df5933717ee7b10818444bb4f8ce859bd7b005e543e805f643aade8260c,1350,direct
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task007,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task007.onnx,data/kaggle_code_single_task/outputs/jonathanchan__ngc26-constraint-smart-logic-mix-blending/tmp_build/blend/task007.onnx,180253043f1e8a683f0174f68f816c6e082de988e1de2785b92f283b5187b44f,1272,direct
