source,task_id,public_onnx_path,public_correctness,public_score,current_score,delta_score,public_total_cost,current_total_cost,delta_cost,public_memory_bytes,current_memory_bytes,public_params,current_params,better_than_current,verify_error
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task000,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task000.onnx,fail,0.0,,0.0,,,,,,,,false,FileNotFoundError: [Errno 2] No such file or directory: 'E:\\kagglegolf\\data\\raw\\neurogolf-2026\\task000.json'
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task001,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task001.onnx,pass,16.62460081420165,17.047384888349,-0.4227840741473514,4339,2843.0,1496.0,4315,2819.0,24,24.0,false,
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task002,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task002.onnx,pass,12.457330125660462,13.514517676859928,-1.0571875511994655,280035,97293.0,182742.0,279600,97200.0,435,93.0,false,
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task003,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task003.onnx,pass,15.786066092513687,17.918291413894426,-2.132225321380739,10036,1190.0,8846.0,10026,1172.0,10,18.0,false,
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task004,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task004.onnx,pass,13.388977333490157,14.084547965521434,-0.6955706320312771,110307,55020.0,55287.0,109988,54000.0,319,1020.0,false,
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task005,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task005.onnx,pass,12.224893201761136,13.328149556042213,-1.1032563542810774,353312,117225.0,236087.0,353090,116889.0,222,336.0,false,
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task006,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task006.onnx,pass,17.4404405039923,17.603051397378987,-0.1626108933866881,1919,1631.0,288.0,1872,1584.0,47,47.0,false,
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task007,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task007.onnx,pass,15.869677336009849,16.108350887349943,-0.23867355134009394,9231,7271.0,1960.0,9200,7240.0,31,31.0,false,
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task008,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task008.onnx,pass,12.656533431031006,14.94430651457454,-2.2877730835435344,229456,23288.0,206168.0,229347,23228.0,109,60.0,false,
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task009,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task009.onnx,pass,13.343485144081104,13.69482467517415,-0.3513395310930463,115441,81241.0,34200.0,111600,77400.0,3841,3841.0,false,
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task010,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task010.onnx,pass,15.983001688101238,16.479811299603966,-0.4968096115027283,8242,5015.0,3227.0,8165,4939.0,77,76.0,false,
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task011,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task011.onnx,pass,13.658491760727989,13.898854540195707,-0.2403627794677181,84247,66247.0,18000.0,81916,63916.0,2331,2331.0,false,
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task012,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task012.onnx,pass,15.18038330650102,15.555457449352874,-0.3750741428518545,18391,12639.0,5752.0,18288,12536.0,103,103.0,false,
jonathanchan__ngc26-constraint-smart-logic-mix-blending,task013,data/kaggle_code_single_task/extracted_onnx/jonathanchan__ngc26-constraint-smart-logic-mix-blending/task013.onnx,pass,12.452094511606518,13.3310798421544,-0.8789853305478825,281505,116882.0,164623.0,281277,114625.0,228,2257.0,false,
