ref,title,author,lastRunTime,totalVotes

massimilianoghiotto/eda-111-best-public-score,EDA 111 + Best Public Score,MassimilianoGhiotto,2026-05-31 09:47:10.467000,72

rauffauzanrambe/neurogolf-champions-arc-best-public-score,NeuroGolf Champions + ARC Best Public Score,Ra'uf Fauzan Rambe,2026-05-31 07:25:52.667000,18

jonathanchan/ngc26-constraint-smart-logic-mix-blending,[NGC26] Constraint Smart Logic Mix Blending,Jonathan Chan,2026-05-08 02:56:54.807000,140

afr1ste/neurogolf-5689-51-current-rules-open-solution,NeuroGolf 5689.51 Current Rules Open Solution,Afr1ste,2026-06-01 00:43:30.617000,90

konbu17/neurogolf-2026-may-8-updated,NeuroGolf-2026 [May 8 updated],konbu17,2026-05-09 19:53:37.467000,66

svanikkolli/arc-nano-engine,ARC Nano-Engine,Svanik Kolli,2026-05-21 23:35:15.730000,70

biohack44/neurogolf-best-blend-max-public-score,Neurogolf: Best Blend Max Public Score ,Emre Cirak,2026-06-06 19:32:29.560000,3

octaviograu/neurogolf-2026-block-lb-drilling-5740-30,NeuroGolf 2026 - Block-LB Drilling (5740.30),Octavi Grau,2026-05-12 10:15:31.240000,48

seddiktrk/surgical-onnx-precision-parameter-reduction,⛳ Surgical ONNX: Precision Parameter Reduction,seddik turki,2026-06-09 00:22:17.060000,72

mirzayasirabdullah07/best-score-neurogolf-championship-notebook,Best Score NeuroGolf Championship NoteBook,Mirza Yasir Abdullah Baig,2026-06-07 12:09:24.833000,63

aliafzal9323/neurogolf-2026-tiny-onnx-solver,NeuroGolf 2026: Tiny-ONNX Solver,Ali Afzal,2026-04-21 08:35:59.897000,64

massimilianoghiotto/convolution-series-part-2,Convolution Series - Part 2,MassimilianoGhiotto,2026-06-02 09:14:05.757000,47

limprog/neurogolf-2026-mega-agi-ensemble,NeuroGolf 2026 — MEGA AGI Ensemble,limprog,2026-04-19 11:20:20.670000,26

massimilianoghiotto/convolution-series-part-1,Convolution Series - Part 1,MassimilianoGhiotto,2026-06-02 09:12:20.337000,44

nadeembinshajahan/6151-lb-neurogolf-2026-stable-fp16-surgery,[6151 LB] NeuroGolf 2026: Stable FP16 Surgery,Nadeem,2026-06-01 14:15:53.013000,23

biohack44/neurogolf-super-blend-best-public-score,Neurogolf Super Blend:Best Public Score ,Emre Cirak,2026-06-02 08:34:20.517000,22

biohack44/neurogolf-new-best-public-6078-ish,Neurogolf New Best Public:6078-ish,Emre Cirak,2026-05-29 18:24:02.373000,12

poonszesen/strategies-explained-openonnxscience,[Strategies-explained] OpenONNXScience,theredbluepill,2026-04-25 04:37:44.537000,7

biohack44/best-public-with-prune-6067,Best Public with Prune 6067,Emre Cirak,2026-05-26 09:31:37,16

dimplebhardwaj536/neurogolf,NEUROGOLF ,Dimple Bhardwaj,2026-06-03 11:47:56.390000,11

