ref,title,author,lastRunTime,totalVotes

cdeotte/eda-task-026,EDA - Task 026,Chris Deotte,2026-05-11 00:07:05.253000,25

cdeotte/install-onnx,Install ONNX,Chris Deotte,2026-05-10 21:56:44.357000,11

cdeotte/eda-task-116,EDA - Task 116,Chris Deotte,2026-05-11 00:21:14.297000,10

cdeotte/eda-task-032,EDA - Task 032,Chris Deotte,2026-05-11 00:17:47.510000,10

cdeotte/eda-task-083,EDA - Task 083,Chris Deotte,2026-05-11 00:18:52.160000,9

cdeotte/eda-task-129,EDA - Task 129,Chris Deotte,2026-05-11 00:19:20.213000,13

cdeotte/eda-task-038,EDA - Task 038,Chris Deotte,2026-05-11 00:18:23.670000,7

