ref,title,author,lastRunTime,totalVotes

massimilianoghiotto/convolution-series-part-2,Convolution Series - Part 2,MassimilianoGhiotto,2026-06-02 09:14:05.757000,47

massimilianoghiotto/convolution-series-part-1,Convolution Series - Part 1,MassimilianoGhiotto,2026-06-02 09:12:20.337000,44

cdeotte/eda-task-026,EDA - Task 026,Chris Deotte,2026-05-11 00:07:05.253000,25

deep262003/baseline-model-2026-neurogolf,Baseline Model 2026 NeuroGolf,So_Good_Person,2026-05-22 09:11:54.547000,13

iamsdt/eda-visualization-and-problem-understanding,"EDA, Visualization and Problem Understanding",Shudipto Trafder,2026-04-16 12:29:12.233000,16

massimilianoghiotto/eda-111-best-public-score,EDA 111 + Best Public Score,MassimilianoGhiotto,2026-05-31 09:47:10.467000,72

cdeotte/eda-task-116,EDA - Task 116,Chris Deotte,2026-05-11 00:21:14.297000,10

hanifnoerrofiq/the-epic-sax-ensembler,🎷 The Epic Sax Ensembler 🎷,Hanif Noer Rofiq,2026-04-22 14:20:38.280000,28

cdeotte/eda-task-032,EDA - Task 032,Chris Deotte,2026-05-11 00:17:47.510000,10

cdeotte/eda-task-083,EDA - Task 083,Chris Deotte,2026-05-11 00:18:52.160000,9

cdeotte/eda-task-129,EDA - Task 129,Chris Deotte,2026-05-11 00:19:20.213000,13

chaitanyajamble/neurogolf-championship2026-2,NeuroGolf championship2026 -2,Chaitanya Jamble,2026-04-22 06:29:32.380000,5

cdeotte/eda-task-038,EDA - Task 038,Chris Deotte,2026-05-11 00:18:23.670000,7

chaitanyajamble/neurogolf-championship-2026-3,NeuroGolf Championship 2026 -3 ,Chaitanya Jamble,2026-04-22 07:26:48.293000,6

karnakbaevarthur/neurogolf-2026-deep-task-transformation-analysis,Neurogolf 2026: Deep Task Transformation Analysis,Karnakbayev Artur,2026-04-20 19:16:54.490000,5

usman707/neurogolf-detailed-eda-insights,⛳ NeuroGolf Detailed EDA + Insights ,Usman Khan,2026-04-16 23:06:56.633000,3

chaitanyajamble/neurogolf-championship-2026,NeuroGolf championship -2026,Chaitanya Jamble,2026-04-22 05:46:36.300000,1

agentzz/neurogolf-2026-starter-kit-and-strategy-guide,NeuroGolf 2026 Starter Kit and Strategy Guide,⸻AgentZZ ⸻,2026-05-18 06:05:05.920000,0

