path,output_path,node_count_before,node_count_after,initializer_count_before,initializer_count_after,parameter_count_before,parameter_count_after,removed_unused_initializers,deduplicated_initializers,scalar_compressed_initializers,replaced_batch_compresses,saved_parameters,changed,status,error
E:\kagglegolf\data\external\datasets\afr1ste_6335\task000.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task000.onnx,6,6,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task001.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task001.onnx,188,188,0,0,0,0,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task002.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task002.onnx,886,886,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task003.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task003.onnx,67,67,2,2,2,2,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task004.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task004.onnx,13,13,0,0,0,0,0,0,0,0,0,False,unchanged,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task005.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task005.onnx,183,183,36,35,223,222,0,1,0,1,1,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task006.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task006.onnx,14,14,13,13,53,53,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task007.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task007.onnx,39,39,3,3,6,6,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task008.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task008.onnx,822,822,51,51,110,110,0,0,0,1,0,True,rewritten,
E:\kagglegolf\data\external\datasets\afr1ste_6335\task009.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task009.onnx,135,135,3,3,902,902,0,0,0,1,0,True,rewritten,
