Rank,TeamId,TeamName,LastSubmissionDate,Score,SubmissionCount,TeamMemberUserNames
1,14196298,"Code Golf International","2025-10-30 22:23:38",962070.000,384,"bruhhhhd,lukeg10081,mukundan314,seekerstyle,sisyphuscg"
2,14194970,"jailctf merger","2025-10-30 23:35:55",961805.000,169,"google64,hellopir2,ohword,quasar0147,quasar098"
3,14194592,"ox jam! 🎤🐂🎸🐂🎷🐂🥁🐂🎹🐂","2025-10-30 23:47:58",961784.000,330,"cheeseexports,dcab1234,kayjoking,kuanweiheng,oskarvs"
4,14194500,FuunAgent,"2025-10-30 18:15:26",957810.000,573,"confirm,jonaskreutz,thunderthunder"
5,14194523,"HIMAGINE THE FUTURE.","2025-10-30 18:48:40",957568.000,51,"keymoon,kq5yyy,shibh308,yu212mc"
6,14198817,"Theoretical Syntax Golfers","2025-10-30 21:04:20",957527.000,38,"althaea,satosjp,shellmug,sz223n,yosshi999"
7,14195225,LogicLynx,"2025-10-30 22:55:35",957513.000,88,"nesyaru,nikuroll,pechi998244353,shunrcn,simann"
8,14206337,"import itertools","2025-10-30 23:54:50",957177.000,569,"asarvazyan,jacekwl,markorupnik,natanalel"
9,14204595,"Santa Golf Club 2500","2025-10-30 23:05:27",957151.000,290,"bio4eta,ku0807,sash2104,watanabekazuo,yuw000"
10,14333576,lv1.dev,"2025-10-30 23:55:47",956458.000,39,"darkpi,shik33137"
11,14272747,"cam jam! 💥📸🧀🎹💥🧀🎹📸","2025-10-30 23:44:46",956008.000,181,"alexpylypenko,aw7834,intgrah,jamesleung2123,sammyuri"
12,14255450,ﾀｲｽｹﾝｻﾝﾊﾞII,"2025-10-30 21:10:07",955424.000,112,"daylighttime,kokikawamura,kuhaku2000,littlegirl112,shogo314"
13,14196008,暗黑AGI,"2025-10-30 23:42:19",955227.000,2278,"bemymind,boristown,chchchch123,gordonli1014,tianruijia123"
14,14259824,ALE-Agent🐟,"2025-10-30 22:53:00",954571.000,55,"charmq,cnumber,inoueu1,takiba,yukiimajuku"
15,14194763,santa2024,"2025-10-30 22:48:40",954246.000,3216,"chimaki821,denden12,hikari30,isakatsuyoshi,kosirowada"
16,14237916,mystery+bono+Lucien,"2025-10-30 23:19:05",953632.000,314,"kaz0603,kjoonha,lucienderubempre,sktkmozt,yamashitamotokazu"
17,14199513,"Golfers Anonymous","2025-10-21 00:43:27",953512.000,48,golffer
18,14403028,"Team JYCDT","2025-10-30 21:06:23",953336.000,1219,"cdeotte,darrenamadeusmartin,jiweiliu,tonylica,yiheng"
19,14320959,Team,"2025-10-30 23:33:59",953039.000,887,"conormacamhlaoibh,huanligong,jazivxt,radek1,yuchen2066"
20,14368570,"ShadowPrompt Labs","2025-10-30 14:48:25",950693.000,22,"daisuketakahashi,darrenks,shinh0,y011d4,zaburo"
21,14206200,abdikmnrsttvwxyz,"2025-10-30 11:37:24",950146.000,44,"mtsd777,riantkb,vwxyz0"
22,14203756,JRKKX,"2025-10-30 21:59:51",949384.000,531,"jonassend,kdmitrie,kg583onkaggle,rynoryno,xuanmingzhang777"
23,14238031,needAJob,"2025-10-30 20:55:48",946216.000,64,"alessandrodaldossi,alessandroghiotto,massimilianoghiotto,oseafracchia,unclepecos"
24,14242334,R.U.M.,"2025-10-30 00:32:22",946190.000,16,wenkaihuang
25,14238164,"Ravi Annaswamy","2025-10-30 21:01:34",945774.000,154,raviannaswamy
26,14197932,Cg-klogw-sekken,"2025-10-30 12:32:44",944539.000,745,"chaitanyagarg2,marksix,mhrzmmhrzm"
27,14198448,adakoda,"2025-10-30 20:59:49",944373.000,229,adakoda
28,14206211,Anpan,"2025-10-30 16:17:17",943825.000,28,"eaggle23,spica08"
29,14229742,"Michael Hodel","2025-10-30 22:42:06",941200.000,19,michaelhodel
30,14356287,mealck,"2025-10-30 21:43:58",941196.000,5,mealck
31,14205455,"Alexander Dudin","2025-10-30 18:48:16",941031.000,62,cyberecho
32,14461536,"A. R. SEKKAT","2025-10-30 23:33:12",940480.000,53,arsekkat
