task_id,train_pairs,test_pairs,arc_gen_pairs,total_pairs,max_grid_dim
task001,5,1,262,268,9
task002,5,1,262,268,20
task003,3,1,261,265,9
task004,2,1,262,265,16
task005,3,1,262,266,21
task006,3,1,262,266,7
task007,3,1,262,266,7
task008,3,1,262,266,16
task009,3,1,261,265,29
task010,2,1,262,265,9
task011,4,1,262,267,11
task012,2,1,262,265,12
task013,4,1,262,267,30
task014,3,1,262,266,25
task015,3,1,261,265,9
task016,4,1,262,267,3
task017,3,1,262,266,21
task018,3,1,262,266,24
task019,4,1,262,267,12
task020,3,1,262,266,10
task021,3,1,262,266,75
task022,3,1,262,266,11
task023,3,1,262,266,11
task024,3,1,262,266,15
task025,3,1,262,266,30
task026,5,1,262,268,7
task027,3,1,261,265,10
task028,2,1,262,265,10
task029,3,1,262,266,25
task030,3,1,262,266,10
task031,3,1,262,266,12
task032,3,1,262,266,6
task033,3,1,261,265,17
task034,4,1,262,267,9
task035,3,1,262,266,10
task036,2,1,262,265,30
task037,3,1,262,266,10
task038,3,1,262,266,9
task039,2,1,261,264,10
task040,3,1,262,266,10
task041,3,1,262,266,10
task042,3,1,262,266,10
task043,3,1,262,266,10
task044,3,1,262,266,10
task045,3,1,261,265,10
task046,4,1,262,267,20
task047,2,1,262,265,9
task048,6,2,262,270,8
task049,5,1,262,268,20
task050,8,1,262,271,15
task051,3,1,261,265,20
task052,4,1,262,267,3
task053,4,2,54,60,3
task054,3,1,262,266,30
task055,2,1,262,265,32
task056,7,3,36,46,3
task057,3,1,261,265,8
task058,5,1,16,22,20
task059,3,1,262,266,11
task060,2,1,262,265,11
task061,4,1,262,267,18
task062,4,1,262,267,10
task063,3,1,262,266,14
task064,4,1,262,267,24
task065,3,1,262,266,15
task066,3,1,262,266,20
task067,3,1,262,266,15
task068,3,1,262,266,10
task069,2,1,261,264,10
task070,3,1,262,266,17
task071,2,1,262,265,16
task072,4,2,262,268,13
task073,3,1,11,15,5
task074,4,1,262,267,30
task075,3,1,261,265,13
task076,3,1,262,266,15
task077,3,1,262,266,21
task078,3,1,262,266,10
task079,3,1,262,266,14
task080,3,1,262,266,31
task081,2,1,261,264,7
task082,2,1,262,265,15
task083,3,1,262,266,8
task084,3,1,171,175,21
task085,2,1,262,265,30
task086,3,1,262,266,12
task087,4,1,261,266,3
task088,4,1,262,267,24
task089,4,1,262,267,13
task090,4,1,262,267,30
task091,3,1,262,266,15
task092,2,1,262,265,30
task093,3,1,261,265,14
task094,2,1,262,265,15
task095,2,1,262,265,9
task096,3,1,262,266,19
task097,4,1,262,267,20
task098,3,1,262,266,22
task099,3,1,261,265,10
task100,3,1,262,266,10
task101,3,1,262,266,21
task102,4,1,262,267,12
task103,6,2,215,223,3
task104,2,1,4,7,9
task105,3,1,262,266,14
task106,3,1,262,266,6
task107,3,1,262,266,30
task108,3,1,262,266,20
task109,3,1,262,266,13
task110,3,1,262,266,29
task111,3,1,261,265,10
task112,3,1,262,266,30
task113,2,1,262,265,10
task114,3,1,262,266,5
task115,3,1,262,266,30
task116,4,1,262,267,6
task117,3,1,261,265,15
task118,4,1,262,267,28
task119,3,1,262,266,12
task120,3,1,262,266,16
task121,3,1,262,266,13
task122,3,1,262,266,21
task123,3,1,261,265,10
task124,3,2,262,267,10
task125,2,1,262,265,15
task126,3,1,262,266,20
task127,4,1,262,267,11
task128,3,1,262,266,15
task129,3,1,261,265,3
task130,2,1,262,265,9
task131,3,1,262,266,18
task132,4,1,262,267,15
task133,4,1,262,267,30
task134,3,1,262,266,30
task135,4,1,261,266,9
task136,3,1,262,266,10
task137,3,1,262,266,30
task138,3,1,262,266,26
task139,2,1,262,265,9
task140,2,1,262,265,3
task141,3,1,261,265,21
task142,3,1,262,266,6
task143,3,1,262,266,10
task144,4,1,262,267,9
task145,4,1,262,267,20
task146,4,1,262,267,9
task147,4,1,262,267,6
task148,3,1,262,266,24
task149,4,1,262,267,11
task150,3,1,262,266,9
task151,3,1,262,266,12
task152,4,1,262,267,6
task153,3,1,261,265,10
task154,3,1,262,266,15
task155,3,1,262,266,8
task156,2,1,262,265,10
task157,2,1,262,265,15
task158,3,1,262,266,26
task159,3,1,261,265,30
task160,2,1,262,265,10
task161,3,1,262,266,25
task162,3,1,262,266,20
task163,4,1,262,267,11
task164,4,1,262,267,6
task165,3,1,261,265,20
task166,3,1,262,266,14
task167,5,1,262,268,3
task168,2,1,262,265,10
task169,3,1,262,266,10
task170,3,1,262,266,28
task171,4,1,49,54,9
task172,4,1,262,267,6
task173,3,1,262,266,25
task174,3,1,262,266,10
task175,3,1,262,266,21
task176,3,1,21,25,25
task177,3,1,261,265,20
task178,5,1,262,268,14
task179,4,1,262,267,3
task180,5,1,262,268,8
task181,3,1,262,266,9
task182,4,1,262,267,20
task183,3,1,261,265,10
task184,3,1,262,266,46
task185,4,1,262,267,29
task186,10,2,255,267,3
task187,3,1,262,266,25
task188,3,1,262,266,8
task189,3,1,262,266,9
task190,3,1,262,266,10
task191,4,1,262,267,23
task192,2,1,262,265,20
task193,3,1,262,266,20
task194,3,1,262,266,6
task195,3,1,261,265,19
task196,3,1,262,266,15
task197,4,1,262,267,14
task198,3,1,262,266,29
task199,3,1,262,266,15
task200,3,1,80,84,10
task201,4,1,261,266,13
task202,4,1,262,267,42
task203,4,1,262,267,18
task204,5,1,262,268,20
task205,3,1,262,266,30
task206,3,1,262,266,12
task207,3,1,261,265,5
task208,3,1,262,266,21
task209,3,1,262,266,20
task210,3,1,262,266,6
task211,3,1,262,266,9
task212,2,1,262,265,10
task213,3,1,261,265,24
task214,3,1,262,266,11
task215,2,1,262,265,20
task216,3,1,262,266,20
task217,3,1,262,266,9
task218,3,1,262,266,21
task219,3,1,261,265,15
task220,4,1,262,267,16
task221,4,1,262,267,21
task222,3,1,262,266,16
task223,2,1,262,265,9
task224,3,1,262,266,16
task225,3,1,261,265,6
task226,3,1,129,133,10
task227,4,1,262,267,8
task228,3,1,262,266,10
task229,4,1,262,267,3
task230,3,1,262,266,15
task231,3,1,262,266,20
task232,3,1,262,266,14
task233,3,1,262,266,30
task234,3,1,262,266,20
task235,4,1,64,69,14
task236,4,1,262,267,9
task237,4,1,261,266,9
task238,3,1,262,266,16
task239,4,1,262,267,12
task240,3,1,262,266,19
task241,3,1,262,266,9
task242,3,1,262,266,16
task243,3,1,261,265,18
task244,3,1,262,266,23
task245,4,1,262,267,10
task246,3,1,262,266,20
task247,6,1,262,269,10
task248,3,1,9,13,10
task249,3,1,261,265,10
task250,2,1,262,265,10
task251,3,1,262,266,12
task252,3,1,262,266,15
task253,2,1,262,265,13
task254,2,1,262,265,9
task255,3,1,261,265,30
task256,3,1,262,266,13
task257,6,1,262,269,9
task258,3,1,262,266,10
task259,3,1,262,266,7
task260,3,1,262,266,10
task261,3,1,261,265,7
task262,4,1,6,11,3
task263,4,1,262,267,15
task264,2,1,262,265,16
task265,3,1,262,266,18
task266,4,1,15,20,5
task267,2,1,261,264,7
task268,3,1,262,266,10
task269,3,1,262,266,24
task270,3,1,262,266,15
task271,4,1,262,267,9
task272,4,1,262,267,5
task273,3,1,262,266,10
task274,6,1,262,269,14
task275,3,1,262,266,16
task276,3,1,262,266,6
task277,3,1,262,266,10
task278,2,1,262,265,18
task279,4,1,261,266,16
task280,4,1,262,267,20
task281,3,1,262,266,13
task282,2,1,262,265,9
task283,2,1,262,265,10
task284,3,1,262,266,24
task285,3,1,261,265,30
task286,2,1,262,265,25
task287,4,1,262,267,16
task288,4,1,262,267,9
task289,5,1,262,268,15
task290,3,1,262,266,15
task291,3,1,261,265,18
task292,5,1,22,28,20
task293,4,1,262,267,15
task294,2,1,262,265,10
task295,5,1,262,268,18
task296,5,1,262,268,7
task297,3,1,261,265,14
task298,3,2,262,267,8
task299,2,1,18,21,6
task300,4,1,262,267,15
task301,3,1,262,266,12
task302,3,1,262,266,12
task303,3,1,261,265,30
task304,3,1,262,266,9
task305,3,1,262,266,16
task306,2,1,262,265,29
task307,3,1,262,266,10
task308,3,1,262,266,20
task309,3,1,261,265,6
task310,3,1,262,266,30
task311,3,1,262,266,6
task312,2,1,262,265,12
task313,3,1,262,266,20
task314,3,1,262,266,8
task315,3,1,262,266,9
task316,3,1,262,266,10
task317,2,1,262,265,9
task318,4,1,262,267,9
task319,4,1,262,267,19
task320,3,1,262,266,11
task321,5,1,261,267,14
task322,3,1,262,266,3
task323,2,1,169,172,13
task324,3,1,262,266,20
task325,3,1,262,266,16
task326,3,1,262,266,12
task327,3,1,261,265,6
task328,4,1,262,267,18
task329,3,1,262,266,9
task330,3,1,262,266,10
task331,2,1,262,265,10
task332,4,1,262,267,20
task333,3,1,261,265,10
task334,7,2,262,271,5
task335,3,1,262,266,20
task336,2,1,28,31,10
task337,3,1,262,266,5
task338,3,2,262,267,25
task339,4,1,261,266,9
task340,3,1,262,266,20
task341,3,1,262,266,10
task342,3,1,262,266,10
task343,3,1,262,266,15
task344,3,1,262,266,10
task345,2,1,261,264,10
task346,4,1,262,267,12
task347,5,2,262,269,6
task348,2,1,262,265,10
task349,4,1,262,267,30
task350,4,1,262,267,26
task351,3,1,261,265,16
task352,3,1,262,266,10
task353,7,2,262,271,14
task354,3,1,262,266,10
task355,4,1,262,267,20
task356,3,1,262,266,10
task357,3,1,9,13,10
task358,2,1,262,265,21
task359,3,1,262,266,26
task360,3,1,262,266,10
task361,3,1,262,266,10
task362,4,1,262,267,10
task363,3,1,261,265,10
task364,3,1,262,266,22
task365,3,1,262,266,10
task366,3,1,262,266,34
task367,3,1,262,266,20
task368,2,1,262,265,10
task369,3,1,261,265,10
task370,3,1,262,266,20
task371,2,2,262,266,14
task372,3,1,262,266,11
task373,2,1,72,75,6
task374,4,1,262,267,10
task375,3,1,54,58,15
task376,2,1,36,39,21
task377,3,1,262,266,30
task378,4,1,262,267,12
task379,3,1,262,266,20
task380,4,1,262,267,3
task381,3,1,261,265,10
task382,3,1,262,266,20
task383,3,1,262,266,24
task384,3,1,262,266,10
task385,2,1,262,265,10
task386,5,1,262,268,7
task387,4,1,261,266,18
task388,3,1,262,266,12
task389,3,1,262,266,5
task390,3,1,262,266,15
task391,4,1,262,267,16
task392,3,1,262,266,10
task393,3,1,261,265,12
task394,3,1,262,266,7
task395,5,1,262,268,6
task396,3,1,262,266,18
task397,3,1,262,266,10
task398,5,1,262,268,25
task399,8,3,262,273,7
task400,3,1,262,266,24
