task_id,arc_task_id,current_score,total_cost,correctness,gap_to_target,arc_dsl_exists,arc_dsl_solver_path,arc_dsl_python_pass,arc_dsl_python_total,cgi_exists,cgi_solver_path,cgi_python_pass,cgi_python_total,other_source,other_source_path,other_source_pass_total,category,recommended_source,recommended_onnx_template,priority,notes
task001,007bbfb7,19.344008189180148,286.0,pass,5.655991810819852,true,external/arc_dsl/solvers.py,40,40,true,external/public_repos/NeurIPS-Code-Golf-2025/solutions/task001.py,,,,,,currently OK; no immediate recovery need,current ONNX,not_obvious,11.311984,sampled_public_solver_examples=40;expected_total=268
task002,00d62c1b,15.433034685335127,14285.0,pass,9.566965314664873,true,external/arc_dsl/solvers.py,40,40,true,external/public_repos/NeurIPS-Code-Golf-2025/solutions/task002.py,,,,,,currently OK; no immediate recovery need,current ONNX,not_obvious,19.133931,sampled_public_solver_examples=40;expected_total=268
task003,017c7c7b,19.439318368984473,260.0,pass,5.560681631015527,true,external/arc_dsl/solvers.py,40,40,true,external/public_repos/NeurIPS-Code-Golf-2025/solutions/task003.py,,,,,,currently OK; no immediate recovery need,current ONNX,not_obvious,11.121363,sampled_public_solver_examples=40;expected_total=265
task004,025d127b,16.509972476656532,4866.0,pass,8.490027523343468,true,external/arc_dsl/solvers.py,40,40,true,external/public_repos/NeurIPS-Code-Golf-2025/solutions/task004.py,,,,,,currently OK; no immediate recovery need,current ONNX,not_obvious,16.980055,sampled_public_solver_examples=40;expected_total=265
task005,045e512c,16.19807909595842,6647.0,pass,8.80192090404158,true,external/arc_dsl/solvers.py,38,40,true,external/public_repos/NeurIPS-Code-Golf-2025/solutions/task005.py,,,,,,currently OK; no immediate recovery need,current ONNX,not_obvious,17.603842,arc-gen[3]:mismatch;arc-gen[33]:mismatch;sampled_public_solver_examples=40;expected_total=266
task006,0520fde7,19.969562078607566,153.0,pass,5.0304379213924335,true,external/arc_dsl/solvers.py,12,40,true,external/public_repos/NeurIPS-Code-Golf-2025/solutions/task006.py,,,,,,currently OK; no immediate recovery need,current ONNX,not_obvious,10.060876,arc-gen[0]:mismatch;arc-gen[1]:mismatch;arc-gen[2]:mismatch;sampled_public_solver_examples=40;expected_total=266
task007,05269061,20.15581291354141,127.0,pass,4.844187086458589,true,external/arc_dsl/solvers.py,40,40,true,external/public_repos/NeurIPS-Code-Golf-2025/solutions/task007.py,,,,,,currently OK; no immediate recovery need,current ONNX,not_obvious,9.688374,sampled_public_solver_examples=40;expected_total=266
task008,05f2a901,17.083192509062396,2743.0,pass,7.916807490937604,true,external/arc_dsl/solvers.py,32,40,true,external/public_repos/NeurIPS-Code-Golf-2025/solutions/task008.py,,,,,,currently OK; no immediate recovery need,current ONNX,not_obvious,15.833615,arc-gen[0]:mismatch;arc-gen[9]:mismatch;arc-gen[11]:mismatch;sampled_public_solver_examples=40;expected_total=266
task009,06df4c85,16.191033118228727,6694.0,pass,8.808966881771273,true,external/arc_dsl/solvers.py,40,40,true,external/public_repos/NeurIPS-Code-Golf-2025/solutions/task009.py,,,,,,currently OK; no immediate recovery need,current ONNX,not_obvious,17.617934,sampled_public_solver_examples=40;expected_total=265
task010,08ed6ac7,18.09024671835519,1002.0,pass,6.909753281644811,true,external/arc_dsl/solvers.py,40,40,true,external/public_repos/NeurIPS-Code-Golf-2025/solutions/task010.py,,,,,,currently OK; no immediate recovery need,current ONNX,not_obvious,13.819507,sampled_public_solver_examples=40;expected_total=265
