task_num,task_id,arc_task_id,task_name,current_onnx_path,onnx_exists,onnx_sha256,onnx_file_size_bytes,params,memory_bytes,macs,total_cost,current_score,correctness,verify_error,train_pass,train_total,test_pass,test_total,arcgen_pass,arcgen_total,python_solver_pass,python_solver_total,onnx_pass,onnx_total,official_verify_status,public_score,target_score,gap_to_target,best_known_score,best_known_source,candidate_id,source_type,solver_source_path,compiler_source_path,rule_status,rule_summary,first_fail_case,fail_reason,failure_type,recoverability,onnx_template_candidate,estimated_gain,priority,safe_to_submit,last_scored_at,last_updated_at,notes
1,task001,,,C:/Users/zyc/AppData/Local/Temp/neurogolf_score__hewx83n/task001.onnx,true,a493c6d57750bc5504d8e9ee2f93a9d2521d44c6f158010e418ce861c1c08959,795,21,265,,286,19.344008189180148,pass,,5,5,1,1,262,262,,,268,268,pass,,25.0,5.655991810819852,19.344008189180148,,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,,,unknown,,,,none,unknown,not_obvious,,,true,2026-07-09T13:53:54,2026-07-09T13:53:54,
2,task002,,,C:/Users/zyc/AppData/Local/Temp/neurogolf_score__hewx83n/task002.onnx,true,d97c7d47649ea943c35c7062a4e257c0fe467a4fc308c6df870ddabf94f39e94,12833,225,14060,,14285,15.433034685335127,pass,,5,5,1,1,262,262,,,268,268,pass,,25.0,9.566965314664873,15.433034685335127,,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,,,unknown,,,,none,unknown,not_obvious,,,true,2026-07-09T13:53:55,2026-07-09T13:53:55,
3,task003,,,C:/Users/zyc/AppData/Local/Temp/neurogolf_score__hewx83n/task003.onnx,true,aafbad07e8d682d538c1dce9a95646f6c6f10c46bdab18dfa205ae42028ae95b,1309,33,227,,260,19.439318368984473,pass,,3,3,1,1,261,261,,,265,265,pass,,25.0,5.560681631015527,19.439318368984473,,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,,,unknown,,,,none,unknown,not_obvious,,,true,2026-07-09T13:53:57,2026-07-09T13:53:57,
4,task004,,,C:/Users/zyc/AppData/Local/Temp/neurogolf_score__hewx83n/task004.onnx,true,dcd99dba776b71d86ab54a7d7d9b008d8fe7b9cda264d5347d3458bcfdf84409,1433,94,4772,,4866,16.509972476656532,pass,,2,2,1,1,262,262,,,265,265,pass,,25.0,8.490027523343468,16.509972476656532,,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,,,unknown,,,,none,unknown,not_obvious,,,true,2026-07-09T13:53:57,2026-07-09T13:53:57,
5,task005,,,C:/Users/zyc/AppData/Local/Temp/neurogolf_score__hewx83n/task005.onnx,true,a91c800a5d153db0b51bea8f4b5941b25e6aa11a4eaaa267b9a4b521a3151fb7,4692,195,6452,,6647,16.19807909595842,pass,,3,3,1,1,262,262,,,266,266,pass,,25.0,8.80192090404158,16.19807909595842,,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,,,unknown,,,,none,unknown,not_obvious,,,true,2026-07-09T13:53:57,2026-07-09T13:53:57,
6,task006,,,C:/Users/zyc/AppData/Local/Temp/neurogolf_score__hewx83n/task006.onnx,true,c59abe078271e1b9716a9cfcaa299391f7a73d012775c268342f00ac36e40794,877,27,126,,153,19.969562078607566,pass,,3,3,1,1,262,262,,,266,266,pass,,25.0,5.0304379213924335,19.969562078607566,,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,,,unknown,,,,none,unknown,not_obvious,,,true,2026-07-09T13:53:59,2026-07-09T13:53:59,
7,task007,,,C:/Users/zyc/AppData/Local/Temp/neurogolf_score__hewx83n/task007.onnx,true,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc,840,127,0,,127,20.15581291354141,pass,,3,3,1,1,262,262,,,266,266,pass,,25.0,4.844187086458589,20.15581291354141,,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,,,unknown,,,,none,unknown,not_obvious,,,true,2026-07-09T13:53:59,2026-07-09T13:53:59,
8,task008,,,C:/Users/zyc/AppData/Local/Temp/neurogolf_score__hewx83n/task008.onnx,true,e66d88084736e122ba21e47a495c82894d22ca03dafb790748455fa9abab739b,7009,89,2654,,2743,17.083192509062396,pass,,3,3,1,1,262,262,,,266,266,pass,,25.0,7.916807490937604,17.083192509062396,,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,,,unknown,,,,none,unknown,not_obvious,,,true,2026-07-09T13:53:59,2026-07-09T13:53:59,
9,task009,,,C:/Users/zyc/AppData/Local/Temp/neurogolf_score__hewx83n/task009.onnx,true,2418667851ab6ace305a5979282c1008697868a082dfb446722d366d31574008,2039,165,6529,,6694,16.191033118228727,pass,,3,3,1,1,261,261,,,265,265,pass,,25.0,8.808966881771273,16.191033118228727,,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,,,unknown,,,,none,unknown,not_obvious,,,true,2026-07-09T13:54:01,2026-07-09T13:54:01,
10,task010,,,C:/Users/zyc/AppData/Local/Temp/neurogolf_score__hewx83n/task010.onnx,true,3f065a8894aa271eaf4c83431e8eb7933593a175bc744ed18abe31795ba8a1bd,1491,332,670,,1002,18.09024671835519,pass,,2,2,1,1,262,262,,,265,265,pass,,25.0,6.909753281644811,18.09024671835519,,GOLF_20260709_101_prvsiyan_7266_72_repro,unknown,,,unknown,,,,none,unknown,not_obvious,,,true,2026-07-09T13:54:01,2026-07-09T13:54:01,
