ref                                                              title                                               author                     lastRunTime                 totalVotes  
---------------------------------------------------------------  --------------------------------------------------  -------------------------  --------------------------  ----------  
jonathanchan/ngc26-constraint-smart-logic-mix-blending           [NGC26] Constraint Smart Logic Mix Blending         Jonathan Chan              2026-05-08 02:56:54.807000         140  
konbu17/neurogolf-2026-blended-till-4-27                         NeuroGolf-2026 Blended till 4/27                    konbu17                    2026-05-06 06:21:54.130000          96  
octaviograu/6154-71-onnx-rewrites-hand-built-solvers             [6154.71] ONNX Rewrites + Hand-Built Solvers        Octavi Grau                2026-06-01 10:54:05.900000         112  
konbu17/neurogolf-2026-may-8-updated                             NeuroGolf-2026 [May 8 updated]                      konbu17                    2026-05-09 19:53:37.467000          66  
konbu17/neurogolf-2026-till-4-27                                 NeuroGolf-2026 �� till 4/27                          konbu17                    2026-05-06 06:22:04.660000          59  
svanikkolli/arc-nano-engine                                      ARC Nano-Engine                                     Svanik Kolli               2026-05-21 23:35:15.730000          70  
magmacot/4200-v5-neurogolf-fix-for-new-system-soon               [4200+] - v5 NeuroGolf fix for new system soon!     Magmucot                   2026-04-23 10:09:14.147000          72  
octaviograu/neurogolf-2026-block-lb-drilling-5740-30             NeuroGolf 2026 - Block-LB Drilling (5740.30)        Octavi Grau                2026-05-12 10:15:31.240000          48  
mirzayasirabdullah07/best-score-neurogolf-championship-notebook  Best Score NeuroGolf Championship NoteBook          Mirza Yasir Abdullah Baig  2026-06-07 12:09:24.833000          63  
aliafzal9323/neurogolf-2026-tiny-onnx-solver                     NeuroGolf 2026: Tiny-ONNX Solver                    Ali Afzal                  2026-04-21 08:35:59.897000          64  
b'seddiktrk/neurogolf-2026-prune-unused-initializers               \xe2\x9b\xb3 NeuroGolf 2026: Prune Unused Initializers         seddik turki               2026-05-26 00:12:00.260000          43  '
foysalemonshanto/the-2026-neurogolf-championship                 The 2026 NeuroGolf Championship                     FOYSAL                     2026-04-21 08:46:29.860000          35  
limprog/neurogolf-2026-mega-agi-ensemble                         NeuroGolf 2026 �� MEGA AGI Ensemble                  limprog                    2026-04-19 11:20:20.670000          26  
biohack44/neurogolf-super-blend-best-public-score                Neurogolf Super Blend:Best Public Score             Emre Cirak                 2026-06-02 08:34:20.517000          22  
haoranran/fp16-graph-surgery-blend-6064-6085-free                FP16 Graph Surgery: Blend 6064 -> ~6085 (free)      damie nervous              2026-05-28 06:51:42.373000          17  
biohack44/neurogolf-2026-fp16-surgery-prune-blend-6115           NeuroGolf 2026: FP16 Surgery + Prune Blend (~6115)  Emre Cirak                 2026-05-31 14:39:58.560000          20  
haoranran/fp16-graph-surgery-v2-highest-public-6100              FP16 Graph Surgery v2 highest public 6100           damie nervous              2026-05-29 07:53:44.597000          12  
anazemcev/neurogolf-2026-cost-optimal-blend                      NeuroGolf 2026: Cost-Optimal Blend                  Artem1410                  2026-05-24 08:17:28.533000          18  
biohack44/neurogolf-new-best-public-6078-ish                     Neurogolf New Best Public:6078-ish                  Emre Cirak                 2026-05-29 18:24:02.373000          12  
nadeembinshajahan/neurogolf-2026-fp16-surgery-prune-blend-6130   NeuroGolf 2026: FP16 Surgery + Prune Blend (~6130)  Nadeem                     2026-05-30 19:25:19.210000          12  
rauffauzanrambe/neurogolf-constraint-smart-logic-ensemble-4k     NeuroGolf: Constraint Smart Logic Ensemble [4K+]    Ra'uf Fauzan Rambe         2026-04-27 03:40:54.687000          12  
biohack44/neurogolf-best-blend-max-public-score                  Neurogolf: Best Blend Max Public Score              Emre Cirak                 2026-06-06 19:32:29.560000           2  
poonszesen/strategies-explained-openonnxscience                  [Strategies-explained] OpenONNXScience              theredbluepill             2026-04-25 04:37:44.537000           7  
svanikkolli/arc-nano-engine-v2                                   ARC Nano-Engine v2                                  Svanik Kolli               2026-04-30 03:54:39.783000           8  
biohack44/neurogolf-new-best-public-v2-6080-ish                  Neurogolf New Best Public v2:6080-ish               Emre Cirak                 2026-05-30 09:51:02.590000           5  
biohack44/neurogolf-superior-blend-notebook                      Neurogolf:Superior Blend Notebook                   Emre Cirak                 2026-06-02 12:46:00.500000           4  
yutodennou/neurogolf-championship-updated-full-code              Neurogolf Championship Updated Full Code            waticson                   2026-04-21 23:43:23.490000           7  
ajayrao43/notebookec9ad185db                                     notebookec9ad185db                                  Ajay_Rao_43                2026-06-02 03:03:05.270000           3  
rauffauzanrambe/neurogolf-2026-the-best-score-kagglehub          NeuroGolf 2026 The Best score Kagglehub             Ra'uf Fauzan Rambe         2026-05-31 02:52:30.753000           4  
scottweeden/neurogolf-trace-language-dfa-solvers                 NeuroGolf Trace Language DFA Solvers                Scott Weeden               2026-06-05 20:57:17.557000           2  
franksunp/neurogolf-2026-v24-blend                               neurogolf-2026-v24-blend                            fsun                       2026-05-04 23:24:35.240000           2  
yutodennou/neurogolf-championship-ensemble-full-code             Neurogolf Championship Ensemble Full Code           waticson                   2026-05-03 09:09:39.547000           2  
arshikhan810/ensemble                                            ensemble                                            Arshi Khan                 2026-04-22 07:43:47.900000           2  
sobanrengarajan/neurogolf-4180-solver                            neurogolf-4180-solver                               Soban Rengarajan           2026-04-22 06:11:04.933000           1  
sobanrengarajan/neurogolf-4200-solver                            neurogolf-4200-solver                               Soban Rengarajan           2026-04-22 07:25:37.107000           1  
