ref                                                              title                                               author                     lastRunTime                 totalVotes  
---------------------------------------------------------------  --------------------------------------------------  -------------------------  --------------------------  ----------  
sigmaborov/neurogolf-2026-starter                                NeuroGolf 2026 - Starter                            sigmaborov                 2026-04-21 05:42:28.443000          88  
sigmaborov/neurogolf-2026-public-data                            NeuroGolf 2026 �� Public Data                        sigmaborov                 2026-04-19 08:06:42.393000          57  
mmoffitt/the-2026-neurogolf-championship                         The 2026 NeuroGolf Championship                     Michael D. Moffitt         2026-05-06 18:28:44.070000         304  
beicicc/neurogolf-6645-39-public-score-open-solution             NeuroGolf 6645.39 Public Score Open Solution        Kun Zhang                  2026-04-30 16:34:13.720000          28  
jonathanchan/ngc26-constraint-smart-logic-mix-blending           [NGC26] Constraint Smart Logic Mix Blending         Jonathan Chan              2026-05-08 02:56:54.807000         140  
biohack44/neurogolf-super-blend-best-public-score                Neurogolf Super Blend:Best Public Score             Emre Cirak                 2026-06-02 08:34:20.517000          22  
konbu17/neurogolf-2026-blended-till-4-27                         NeuroGolf-2026 Blended till 4/27                    konbu17                    2026-05-06 06:21:54.130000          96  
afr1ste/neurogolf-5689-51-current-rules-open-solution            NeuroGolf 5689.51 Current Rules Open Solution       Afr1ste                    2026-06-01 00:43:30.617000          90  
octaviograu/6154-71-onnx-rewrites-hand-built-solvers             [6154.71] ONNX Rewrites + Hand-Built Solvers        Octavi Grau                2026-06-01 10:54:05.900000         112  
konbu17/neurogolf-2026-may-8-updated                             NeuroGolf-2026 [May 8 updated]                      konbu17                    2026-05-09 19:53:37.467000          66  
beicicc/neurogolf-6233-36-public-score-open-solution             NeuroGolf 6233.36 Public Score Open Solution        Kun Zhang                  2026-04-27 03:11:54.317000          15  
svanikkolli/arc-nano-engine                                      ARC Nano-Engine                                     Svanik Kolli               2026-05-21 23:35:15.730000          70  
konbu17/neurogolf-2026-till-4-27                                 NeuroGolf-2026 �� till 4/27                          konbu17                    2026-05-06 06:22:04.660000          59  
biohack44/neurogolf-new-best-public-6078-ish                     Neurogolf New Best Public:6078-ish                  Emre Cirak                 2026-05-29 18:24:02.373000          12  
jiweiliu/kaggle-agent-ensemble-with-yash9439                     Kaggle Agent Ensemble with yash9439                 Jiwei Liu                  2026-04-18 00:53:24.917000          64  
octaviograu/neurogolf-2026-block-lb-drilling-5740-30             NeuroGolf 2026 - Block-LB Drilling (5740.30)        Octavi Grau                2026-05-12 10:15:31.240000          48  
rauffauzanrambe/neurogolf-champions-arc-best-public-score        NeuroGolf Champions + ARC Best Public Score         Ra'uf Fauzan Rambe         2026-05-31 07:25:52.667000          18  
vyankteshdwivedi/neurogolf-multi-source-onnx-solver              NeuroGolf Multi-Source ONNX Solver                  zorojuro                   2026-06-06 15:15:11.013000          81  
b'seddiktrk/surgical-onnx-precision-parameter-reduction            \xe2\x9b\xb3 Surgical ONNX: Precision Parameter Reduction      seddik turki               2026-06-08 14:02:43.127000          67  '
yash9439/neurogolf-emsembling                                    NeuroGolf Emsembling                                yash bhaskar               2026-04-17 17:34:01.793000          65  
mirzayasirabdullah07/best-score-neurogolf-championship-notebook  Best Score NeuroGolf Championship NoteBook          Mirza Yasir Abdullah Baig  2026-06-07 12:09:24.833000          63  
jsrdcht/6029-09-lb-neurogolf-all-task-onnx-solution              [6029.09 LB] NeuroGolf All-Task ONNX Solution       Chet                       2026-05-18 11:02:53.937000          41  
thisray/neurogolf-4808-21-post-apr-28-update                     NeuroGolf 4808.21 Post Apr 28 Update                thisray                    2026-04-29 02:50:52.467000          37  
massimilianoghiotto/convolution-series-part-2                    Convolution Series - Part 2                         MassimilianoGhiotto        2026-06-02 09:14:05.757000          47  
aliafzal9323/neurogolf-2026-tiny-onnx-solver                     NeuroGolf 2026: Tiny-ONNX Solver                    Ali Afzal                  2026-04-21 08:35:59.897000          64  
kojimar/6272-50-lb-audited-neurogolf-onnx-overrides              [6272.50 LB] Audited NeuroGolf ONNX Overrides       islet                      2026-06-08 07:55:01.783000          22  
massimilianoghiotto/eda-111-best-public-score                    EDA 111 + Best Public Score                         MassimilianoGhiotto        2026-05-31 09:47:10.467000          72  
limprog/neurogolf-2026-mega-agi-ensemble                         NeuroGolf 2026 �� MEGA AGI Ensemble                  limprog                    2026-04-19 11:20:20.670000          26  
massimilianoghiotto/convolution-series-part-1                    Convolution Series - Part 1                         MassimilianoGhiotto        2026-06-02 09:12:20.337000          43  
beicicc/neurogolf-6202-73-public-score-open-solution             NeuroGolf 6202.73 Public Score Open Solution        Kun Zhang                  2026-04-27 02:28:07.537000           6  
biohack44/neurogolf-2026-fp16-surgery-prune-blend-6115           NeuroGolf 2026: FP16 Surgery + Prune Blend (~6115)  Emre Cirak                 2026-05-31 14:39:58.560000          20  
nadeembinshajahan/6151-lb-neurogolf-2026-stable-fp16-surgery     [6151 LB] NeuroGolf 2026: Stable FP16 Surgery       Nadeem                     2026-06-01 14:15:53.013000          23  
haoranran/fp16-graph-surgery-blend-6064-6085-free                FP16 Graph Surgery: Blend 6064 -> ~6085 (free)      damie nervous              2026-05-28 06:51:42.373000          17  
biohack44/neurogolf-new-best-public-v2-6080-ish                  Neurogolf New Best Public v2:6080-ish               Emre Cirak                 2026-05-30 09:51:02.590000           5  
haoranran/fp16-graph-surgery-v2-highest-public-6100              FP16 Graph Surgery v2 highest public 6100           damie nervous              2026-05-29 07:53:44.597000          12  
nadeembinshajahan/neurogolf-2026-fp16-surgery-prune-blend-6130   NeuroGolf 2026: FP16 Surgery + Prune Blend (~6130)  Nadeem                     2026-05-30 19:25:19.210000          12  
