ref                                                                title                                              author                     lastRunTime                 totalVotes  
-----------------------------------------------------------------  -------------------------------------------------  -------------------------  --------------------------  ----------  
mirzayasirabdullah07/best-score-neurogolf-championship-notebook    Best Score NeuroGolf Championship NoteBook         Mirza Yasir Abdullah Baig  2026-06-07 12:09:24.833000          63  
beicicc/neurogolf-6645-39-public-score-open-solution               NeuroGolf 6645.39 Public Score Open Solution       Kun Zhang                  2026-04-30 16:34:13.720000          28  
jonathanchan/ngc26-constraint-smart-logic-mix-blending             [NGC26] Constraint Smart Logic Mix Blending        Jonathan Chan              2026-05-08 02:56:54.807000         140  
biohack44/neurogolf-super-blend-best-public-score                  Neurogolf Super Blend:Best Public Score            Emre Cirak                 2026-06-02 08:34:20.517000          22  
karnakbaevarthur/all-task-description-analysis                     All Task Description Analysis                      Karnakbayev Artur          2026-04-29 10:44:54.137000         145  
konbu17/neurogolf-2026-blended-till-4-27                           NeuroGolf-2026 Blended till 4/27                   konbu17                    2026-05-06 06:21:54.130000          96  
afr1ste/neurogolf-5689-51-current-rules-open-solution              NeuroGolf 5689.51 Current Rules Open Solution      Afr1ste                    2026-06-01 00:43:30.617000          90  
octaviograu/6154-71-onnx-rewrites-hand-built-solvers               [6154.71] ONNX Rewrites + Hand-Built Solvers       Octavi Grau                2026-06-01 10:54:05.900000         112  
beicicc/neurogolf-6233-36-public-score-open-solution               NeuroGolf 6233.36 Public Score Open Solution       Kun Zhang                  2026-04-27 03:11:54.317000          15  
massimilianoghiotto/convolution-series-part-3                      Convolution Series - Part 3                        MassimilianoGhiotto        2026-06-03 14:02:49.643000          87  
konbu17/neurogolf-2026-may-8-updated                               NeuroGolf-2026 [May 8 updated]                     konbu17                    2026-05-09 19:53:37.467000          66  
svanikkolli/arc-nano-engine                                        ARC Nano-Engine                                    Svanik Kolli               2026-05-21 23:35:15.730000          70  
rauffauzanrambe/neurogolf-champions-arc-best-public-score          NeuroGolf Champions + ARC Best Public Score        Ra'uf Fauzan Rambe         2026-05-31 07:25:52.667000          18  
konbu17/neurogolf-2026-till-4-27                                   NeuroGolf-2026 �� till 4/27                         konbu17                    2026-05-06 06:22:04.660000          59  
vyankteshdwivedi/neurogolf-multi-source-onnx-solver                NeuroGolf Multi-Source ONNX Solver                 zorojuro                   2026-06-06 15:15:11.013000          81  
magmacot/4200-v5-neurogolf-fix-for-new-system-soon                 [4200+] - v5 NeuroGolf fix for new system soon!    Magmucot                   2026-04-23 10:09:14.147000          72  
jiweiliu/kaggle-agent-ensemble-with-yash9439                       Kaggle Agent Ensemble with yash9439                Jiwei Liu                  2026-04-18 00:53:24.917000          64  
b'seddiktrk/surgical-onnx-precision-parameter-reduction              \xe2\x9b\xb3 Surgical ONNX: Precision Parameter Reduction     seddik turki               2026-06-08 14:02:43.127000          67  '
octaviograu/neurogolf-2026-block-lb-drilling-5740-30               NeuroGolf 2026 - Block-LB Drilling (5740.30)       Octavi Grau                2026-05-12 10:15:31.240000          48  
yash9439/neurogolf-emsembling                                      NeuroGolf Emsembling                               yash bhaskar               2026-04-17 17:34:01.793000          65  
karnakbaevarthur/logic-decoder                                     Logic Decoder                                      Karnakbayev Artur          2026-04-23 14:42:04.353000          74  
jazivxt/infinitesimals                                             Infinitesimals                                     jazivxt                    2026-05-10 15:10:59.220000          77  
jsrdcht/6029-09-lb-neurogolf-all-task-onnx-solution                [6029.09 LB] NeuroGolf All-Task ONNX Solution      Chet                       2026-05-18 11:02:53.937000          41  
thisray/neurogolf-4808-21-post-apr-28-update                       NeuroGolf 4808.21 Post Apr 28 Update               thisray                    2026-04-29 02:50:52.467000          37  
massimilianoghiotto/convolution-series-part-2                      Convolution Series - Part 2                        MassimilianoGhiotto        2026-06-02 09:14:05.757000          47  
karnakbaevarthur/cross-source-ensemble                             Cross-Source Ensemble                              Karnakbayev Artur          2026-04-23 14:46:18.497000          64  
b'seddiktrk/neurogolf-2026-prune-unused-initializers                 \xe2\x9b\xb3 NeuroGolf 2026: Prune Unused Initializers        seddik turki               2026-05-26 00:12:00.260000          43  '
aliafzal9323/neurogolf-2026-tiny-onnx-solver                       NeuroGolf 2026: Tiny-ONNX Solver                   Ali Afzal                  2026-04-21 08:35:59.897000          64  
massimilianoghiotto/eda-111-best-public-score                      EDA 111 + Best Public Score                        MassimilianoGhiotto        2026-05-31 09:47:10.467000          72  
foysalemonshanto/the-2026-neurogolf-championship                   The 2026 NeuroGolf Championship                    FOYSAL                     2026-04-21 08:46:29.860000          35  
massimilianoghiotto/convolution-series-part-1                      Convolution Series - Part 1                        MassimilianoGhiotto        2026-06-02 09:12:20.337000          43  
limprog/neurogolf-2026-mega-agi-ensemble                           NeuroGolf 2026 �� MEGA AGI Ensemble                 limprog                    2026-04-19 11:20:20.670000          26  
beicicc/neurogolf-6202-73-public-score-open-solution               NeuroGolf 6202.73 Public Score Open Solution       Kun Zhang                  2026-04-27 02:28:07.537000           6  
cdeotte/eda-task-026                                               EDA - Task 026                                     Chris Deotte               2026-05-11 00:07:05.253000          25  
massimilianoghiotto/convolution-series-part-4                      Convolution Series - Part 4                        MassimilianoGhiotto        2026-06-05 10:36:14.447000          14  
