path,output_path,node_count_before,node_count_after,initializer_count_before,initializer_count_after,parameter_count_before,parameter_count_after,removed_unused_initializers,deduplicated_initializers,scalar_compressed_initializers,saved_parameters,changed,status,error
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task001.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task001.onnx,13,13,4,4,24,24,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task002.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task002.onnx,95,95,31,31,93,93,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task003.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task003.onnx,42,42,12,12,18,18,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task004.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task004.onnx,4,4,4,4,1020,1020,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task005.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task005.onnx,106,106,19,19,336,336,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task006.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task006.onnx,12,12,10,10,47,47,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task007.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task007.onnx,13,13,13,13,31,31,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task008.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task008.onnx,78,78,20,20,60,60,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task009.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task009.onnx,22,22,6,6,3841,3841,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task010.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task010.onnx,60,60,25,25,76,76,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task011.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task011.onnx,52,52,22,22,2331,2331,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task012.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task012.onnx,15,15,13,13,102,102,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task013.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task013.onnx,91,91,16,16,2257,2257,0,0,0,0,False,unchanged,
E:\kagglegolf\submissions\candidates\GOLF_20260608_025_kojimar_6272_full_replace\onnx\task014.onnx,E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task014.onnx,42,42,17,17,650,650,0,0,0,0,False,unchanged,
