task_id,candidate_model_path,model_path,source_id,source_exp_id,method_family,memory_footprint,parameter_count,file_size,cost_proxy,utility_proxy,local_valid,risk,candidate_rank,recommended_action
task001,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task001.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task001.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,18098,,,true,high,1,submit_afr1ste_compress_rewrite_structural_mix
task002,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task002.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task002.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,61355,,,true,high,2,submit_afr1ste_compress_rewrite_structural_mix
task003,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task003.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task003.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,4900,,,true,high,3,submit_afr1ste_compress_rewrite_structural_mix
task004,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task004.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task004.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,18032,,,true,high,4,submit_afr1ste_compress_rewrite_structural_mix
task005,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task005.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task005.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,15255,,,true,high,5,submit_afr1ste_compress_rewrite_structural_mix
task006,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task006.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task006.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,1935,,,true,high,6,submit_afr1ste_compress_rewrite_structural_mix
task007,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task007.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task007.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,13506,,,true,high,7,submit_afr1ste_compress_rewrite_structural_mix
task008,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task008.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task008.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,117189,,,true,high,8,submit_afr1ste_compress_rewrite_structural_mix
task009,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task009.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task009.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,11925,,,true,high,9,submit_afr1ste_compress_rewrite_structural_mix
task010,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task010.onnx,E:\kagglegolf\data\interim\afr1ste_6335_batchcompress_rewrite\task010.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_049_afr1ste_compress_rewrite_structural_mix,afr1ste_compress_rewrite_structural_pass,,,7791,,,true,high,10,submit_afr1ste_compress_rewrite_structural_mix
