task_id,candidate_model_path,model_path,source_id,source_exp_id,method_family,memory_footprint,parameter_count,file_size,cost_proxy,utility_proxy,local_valid,risk,candidate_rank,recommended_action
task004,E:\kagglegolf\data\external\datasets\afr1ste_6335\task004.onnx,E:\kagglegolf\data\external\datasets\afr1ste_6335\task004.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_048_afr1ste_6335_full_replace,public_full_replace_structural_pass_no_compress,,,18032,,,true,medium,1,submit_afr1ste_6335_structural_pass_mix
task015,E:\kagglegolf\data\external\datasets\afr1ste_6335\task015.onnx,E:\kagglegolf\data\external\datasets\afr1ste_6335\task015.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_048_afr1ste_6335_full_replace,public_full_replace_structural_pass_no_compress,,,4049,,,true,medium,2,submit_afr1ste_6335_structural_pass_mix
task016,E:\kagglegolf\data\external\datasets\afr1ste_6335\task016.onnx,E:\kagglegolf\data\external\datasets\afr1ste_6335\task016.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_048_afr1ste_6335_full_replace,public_full_replace_structural_pass_no_compress,,,171,,,true,medium,3,submit_afr1ste_6335_structural_pass_mix
task021,E:\kagglegolf\data\external\datasets\afr1ste_6335\task021.onnx,E:\kagglegolf\data\external\datasets\afr1ste_6335\task021.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_048_afr1ste_6335_full_replace,public_full_replace_structural_pass_no_compress,,,29942,,,true,medium,4,submit_afr1ste_6335_structural_pass_mix
task023,E:\kagglegolf\data\external\datasets\afr1ste_6335\task023.onnx,E:\kagglegolf\data\external\datasets\afr1ste_6335\task023.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_048_afr1ste_6335_full_replace,public_full_replace_structural_pass_no_compress,,,2795,,,true,medium,5,submit_afr1ste_6335_structural_pass_mix
task030,E:\kagglegolf\data\external\datasets\afr1ste_6335\task030.onnx,E:\kagglegolf\data\external\datasets\afr1ste_6335\task030.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_048_afr1ste_6335_full_replace,public_full_replace_structural_pass_no_compress,,,5691,,,true,medium,6,submit_afr1ste_6335_structural_pass_mix
task047,E:\kagglegolf\data\external\datasets\afr1ste_6335\task047.onnx,E:\kagglegolf\data\external\datasets\afr1ste_6335\task047.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_048_afr1ste_6335_full_replace,public_full_replace_structural_pass_no_compress,,,1841,,,true,medium,7,submit_afr1ste_6335_structural_pass_mix
task048,E:\kagglegolf\data\external\datasets\afr1ste_6335\task048.onnx,E:\kagglegolf\data\external\datasets\afr1ste_6335\task048.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_048_afr1ste_6335_full_replace,public_full_replace_structural_pass_no_compress,,,109401,,,true,medium,8,submit_afr1ste_6335_structural_pass_mix
task053,E:\kagglegolf\data\external\datasets\afr1ste_6335\task053.onnx,E:\kagglegolf\data\external\datasets\afr1ste_6335\task053.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_048_afr1ste_6335_full_replace,public_full_replace_structural_pass_no_compress,,,167,,,true,medium,9,submit_afr1ste_6335_structural_pass_mix
task055,E:\kagglegolf\data\external\datasets\afr1ste_6335\task055.onnx,E:\kagglegolf\data\external\datasets\afr1ste_6335\task055.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_048_afr1ste_6335_full_replace,public_full_replace_structural_pass_no_compress,,,17394,,,true,medium,10,submit_afr1ste_6335_structural_pass_mix
task066,E:\kagglegolf\data\external\datasets\afr1ste_6335\task066.onnx,E:\kagglegolf\data\external\datasets\afr1ste_6335\task066.onnx,SRC_KAGGLE_DATASET_AFR1STE_6335,GOLF_20260608_048_afr1ste_6335_full_replace,public_full_replace_structural_pass_no_compress,,,22609,,,true,medium,11,submit_afr1ste_6335_structural_pass_mix
