task_id,arc_id,solver_name,solver_exists,solver_lines,dsl_call_count,dsl_primitives,train_pass,train_total,test_pass,test_total,arc_gen_pass,arc_gen_total,official_pass,all_examples_pass,current_node_count,current_memory_proxy,current_cost_proxy,current_utility_proxy,compile_priority,errors
task249,a416b8f3,solve_a416b8f3,true,3,1,hconcat,3,3,1,1,261,261,true,true,19,9446,9768,15.813133,9.18686701579054,
task223,9172f3a0,solve_9172f3a0,true,3,1,upscale,2,2,1,1,262,262,true,true,1,7200,9000,15.895020,9.104979856318357,
task307,c59eb873,solve_c59eb873,true,3,1,upscale,3,3,1,1,262,262,true,true,1,7200,9000,15.895020,9.104979856318357,
task150,67a3c6ac,solve_67a3c6ac,true,3,1,vmirror,3,3,1,1,262,262,true,true,11,1262,1298,17.831420,7.168579897264035,
task155,68b16354,solve_68b16354,true,3,1,hmirror,3,3,1,1,262,262,true,true,11,1262,1298,17.831420,7.168579897264035,
task380,ed36ccf7,solve_ed36ccf7,true,3,1,rot270,4,4,1,1,262,262,true,true,3,784,792,18.325439,6.674561391814425,
task087,3c9b0459,solve_3c9b0459,true,3,1,rot180,4,4,1,1,261,261,true,true,2,424,432,18.931574,6.068425588244111,
task140,6150a2bd,solve_6150a2bd,true,3,1,rot180,2,2,1,1,262,262,true,true,2,424,432,18.931574,6.068425588244111,
task326,d10ecb37,solve_d10ecb37,true,3,1,crop,3,3,1,1,262,262,true,true,2,160,160,19.924826,5.075173815233825,
task130,5614dbcf,solve_5614dbcf,true,4,2,"downscale,replace",2,2,1,1,179,262,true,false,10,16300,16398,15.295085,4.852457327578062,arc-gen[3]:output_mismatch;arc-gen[4]:output_mismatch;arc-gen[8]:output_mismatch;arc-gen[9]:output_mismatch;arc-gen[13]:output_mismatch;arc-gen[15]:output_mismatch;arc-gen[17]:output_mismatch;arc-gen[18]:output_mismatch
task276,b1948b0a,solve_b1948b0a,true,3,1,replace,3,3,1,1,262,262,true,true,1,80,90,20.500190,4.499809670330265,
task309,c8f0f002,solve_c8f0f002,true,3,1,replace,3,3,1,1,261,261,true,true,1,80,90,20.500190,4.499809670330265,
task337,d511f180,solve_d511f180,true,3,1,switch,3,3,1,1,262,262,true,true,1,80,90,20.500190,4.499809670330265,
task303,c1d99e64,solve_c1d99e64,true,5,3,"fill,frontiers,merge",3,3,1,1,261,261,true,true,8,81640,81950,13.686135,3.771288194723992,
task036,1f85a75f,solve_1f85a75f,true,5,3,"argmax,objects,subgrid",2,2,1,1,262,262,true,true,56,80596,80708,13.701407,3.766197660644856,
task300,be94b721,solve_be94b721,true,5,3,"argmax,objects,subgrid",4,4,1,1,262,262,true,true,43,78182,78290,13.731825,3.7560583866339865,
task070,32597951,solve_32597951,true,5,3,"delta,fill,ofcolor",3,3,1,1,262,262,true,true,71,66240,66318,13.897783,3.7007388775130035,
task014,0b148d64,solve_0b148d64,true,5,3,"argmin,partition,subgrid",3,3,1,1,258,262,true,false,42,41124,41774,14.359971,3.5466764718050876,arc-gen[48]:output_mismatch;arc-gen[73]:output_mismatch;arc-gen[204]:output_mismatch;arc-gen[236]:output_mismatch
task129,5582e5ca,solve_5582e5ca,true,4,2,"canvas,mostcolor",3,3,1,1,261,261,true,true,8,1004,1033,18.059778,3.4701112345598197,
task049,23b5c85d,solve_23b5c85d,true,5,3,"argmin,objects,subgrid",5,5,1,1,186,262,true,false,29,31131,31281,14.649234,3.4502553878192344,arc-gen[4]:output_mismatch;arc-gen[5]:output_mismatch;arc-gen[11]:output_mismatch;arc-gen[14]:output_mismatch;arc-gen[15]:output_mismatch;arc-gen[18]:output_mismatch;arc-gen[22]:output_mismatch;arc-gen[23]:output_mismatch
task310,c909285e,solve_c909285e,true,5,3,"leastcolor,ofcolor,subgrid",3,3,1,1,262,262,true,true,42,26362,26528,14.814044,3.3953186859783404,
task289,b91ae062,solve_b91ae062,true,5,3,"decrement,numcolors,upscale",5,5,1,1,262,262,true,true,24,25232,25312,14.860966,3.3796779568557938,
task242,9ecd008a,solve_9ecd008a,true,5,3,"ofcolor,subgrid,vmirror",3,3,1,1,262,262,true,true,14,20427,20472,15.073187,3.3089377926132086,
task031,1cf80156,solve_1cf80156,true,5,3,"first,objects,subgrid",3,3,1,1,262,262,true,true,26,18970,19028,15.146333,3.2845556191840575,
task188,7b7f7511,solve_7b7f7511,true,5,3,"branch,portrait,x2",3,3,1,1,250,262,true,false,41,11276,11324,15.665320,3.111559882077263,arc-gen[0]:output_mismatch;arc-gen[147]:output_mismatch;arc-gen[153]:output_mismatch;arc-gen[168]:output_mismatch;arc-gen[170]:output_mismatch;arc-gen[172]:output_mismatch;arc-gen[173]:output_mismatch;arc-gen[180]:output_mismatch
task067,2dee498d,solve_2dee498d,true,4,2,"first,hsplit",3,3,1,1,262,262,true,true,7,414,447,18.897441,3.0512792973067846,
task269,ac0a08a4,solve_ac0a08a4,true,5,3,"colorcount,subtract,upscale",3,3,1,1,262,262,true,true,31,8830,8926,15.903276,3.0322412150630718,
task135,5bd6f4ac,solve_5bd6f4ac,true,4,2,"crop,tojvec",4,4,1,1,261,261,true,true,2,360,360,19.113896,2.943052015725078,
task029,1c786137,solve_1c786137,true,6,4,"argmax,objects,subgrid,trim",3,3,1,1,228,262,true,false,88,97755,97925,13.508043,2.872989289633508,arc-gen[1]:output_mismatch;arc-gen[10]:output_mismatch;arc-gen[11]:output_mismatch;arc-gen[14]:output_mismatch;arc-gen[35]:output_mismatch;arc-gen[47]:output_mismatch;arc-gen[54]:output_mismatch;arc-gen[55]:output_mismatch
task384,f25fbde4,solve_f25fbde4,true,6,4,"first,objects,subgrid,upscale",3,3,1,1,262,262,true,true,39,75464,75570,13.767185,2.8082036645036914,
task095,4258a5f9,solve_4258a5f9,true,5,3,"fill,mapply,ofcolor",2,2,1,1,262,262,true,true,1,3640,4550,16.577117,2.807627503981666,
task139,60b61512,solve_60b61512,true,5,3,"fill,mapply,objects",2,2,1,1,262,262,true,true,33,4270,4444,16.600690,2.799770050253173,
task116,4c4377d9,solve_4c4377d9,true,4,2,"hmirror,vconcat",4,4,1,1,262,262,true,true,1,240,270,19.401578,2.799210979499188,
task164,6d0aefbc,solve_6d0aefbc,true,4,2,"hconcat,vmirror",4,4,1,1,262,262,true,true,1,240,270,19.401578,2.799210979499188,
task172,6fa7a44f,solve_6fa7a44f,true,4,2,"hmirror,vconcat",4,4,1,1,262,262,true,true,1,240,270,19.401578,2.799210979499188,
task210,8be77c9e,solve_8be77c9e,true,4,2,"hmirror,vconcat",3,3,1,1,262,262,true,true,1,240,270,19.401578,2.799210979499188,
task311,c9e6f938,solve_c9e6f938,true,4,2,"hconcat,vmirror",3,3,1,1,262,262,true,true,1,240,270,19.401578,2.799210979499188,
task177,7468f01a,solve_7468f01a,true,6,4,"first,objects,subgrid,vmirror",3,3,1,1,260,261,true,false,33,61902,62004,13.965046,2.7587385445187964,arc-gen[232]:output_mismatch
task097,42a50994,solve_42a50994,true,6,4,"cover,merge,objects,sizefilter",4,4,1,1,262,262,true,true,14,55822,55832,14.069898,2.732525615174247,
task081,3aa6fb7a,solve_3aa6fb7a,true,5,3,"mapply,objects,underfill",2,2,1,1,261,261,true,true,35,2716,2825,17.053736,2.64875454786018,
task065,2dc579da,solve_2dc579da,true,6,4,"argmax,mapply,rbind,vsplit",3,3,1,1,226,262,true,false,37,35338,35401,14.525505,2.6186238368276133,arc-gen[1]:output_mismatch;arc-gen[2]:output_mismatch;arc-gen[16]:output_mismatch;arc-gen[19]:output_mismatch;arc-gen[42]:output_mismatch;arc-gen[53]:output_mismatch;arc-gen[55]:output_mismatch;arc-gen[58]:output_mismatch
task278,b27ca6d3,solve_b27ca6d3,true,6,4,"fill,mapply,objects,sizefilter",2,2,1,1,262,262,true,true,16,31018,31380,14.646074,2.588481506571756,
task132,56ff96f3,solve_56ff96f3,true,6,4,"fgpartition,fork,mapply,paint",4,4,1,1,262,262,true,true,38,29696,29760,14.699080,2.575230122236757,
task057,28bf18c6,solve_28bf18c6,true,6,4,"first,hconcat,objects,subgrid",3,3,1,1,261,261,true,true,16,29437,29457,14.709313,2.57267171295935,
task271,ae4f1146,solve_ae4f1146,true,6,4,"argmax,objects,rbind,subgrid",4,4,1,1,262,262,true,true,22,29304,29367,14.712373,2.571906718482385,
task102,44d8ac46,solve_44d8ac46,true,6,4,"apply,fill,mfilter,objects",4,4,1,1,262,262,true,true,48,13353,13884,15.461508,2.3846230942454194,
task216,8efcae92,solve_8efcae92,true,7,5,"argmax,colorfilter,compose,objects,subgrid",3,3,1,1,208,262,true,false,268,104260,104360,13.444398,2.311120347850133,arc-gen[2]:output_mismatch;arc-gen[3]:output_mismatch;arc-gen[8]:output_mismatch;arc-gen[14]:output_mismatch;arc-gen[16]:output_mismatch;arc-gen[23]:output_mismatch;arc-gen[27]:output_mismatch;arc-gen[28]:output_mismatch
task083,3af2c5a8,solve_3af2c5a8,true,6,4,"hconcat,hmirror,vconcat,vmirror",3,3,1,1,262,262,true,true,1,7200,9000,15.895020,2.276244964079589,
task108,46f33fce,solve_46f33fce,true,6,4,"downscale,rot180,upscale",3,3,1,1,262,262,true,true,1,7200,9000,15.895020,2.276244964079589,
task142,62c24649,solve_62c24649,true,6,4,"hconcat,hmirror,vconcat,vmirror",3,3,1,1,262,262,true,true,1,7200,9000,15.895020,2.276244964079589,
task152,67e8384a,solve_67e8384a,true,6,4,"hconcat,hmirror,vconcat,vmirror",4,4,1,1,262,262,true,true,1,7200,9000,15.895020,2.276244964079589,
task259,a740d043,solve_a740d043,true,6,4,"merge,objects,replace,subgrid",3,3,1,1,262,262,true,true,30,7125,7175,16.121642,2.219589510156956,
task352,dc1df850,solve_dc1df850,true,6,4,"colorfilter,fill,mapply,objects",3,3,1,1,262,262,true,true,11,6808,6834,16.170335,2.2074163581688087,
task073,3618c87e,solve_3618c87e,true,6,4,"merge,move,objects,sizefilter",3,3,1,1,11,11,true,true,1,3640,4550,16.577117,2.1057206279862495,
task098,4347f46a,solve_4347f46a,true,6,4,"fill,fork,mapply,objects",3,3,1,1,262,262,true,true,1,3640,4550,16.577117,2.1057206279862495,
task120,50cb2852,solve_50cb2852,true,6,4,"compose,fill,mapply,objects",3,3,1,1,262,262,true,true,1,3640,4550,16.577117,2.1057206279862495,
