task_id,candidate_model_path,source_id,source_exp_id,method_family,memory_footprint,parameter_count,file_size,cost_proxy,utility_proxy,local_valid,risk,candidate_rank,recommended_action,base_memory,delta_memory,delta_cost
task018,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task018.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,871210,999,32157,872209,11.321216,True,high,4,probe_bottom15_structural_difference,477443,393767,393771
task025,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task025.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,12050352,65193,826752,12115545,8.690000,True,high,9,probe_bottom15_structural_difference,140410,11909942,11975070
task054,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task054.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,182795,161,9728,182956,12.882999,True,high,3,probe_bottom15_structural_difference,173795,9000,9000
task133,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task133.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,10293676,228894,783434,10522570,8.830967,True,high,8,probe_bottom15_structural_difference,716422,9577254,9802482
task158,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task158.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,6567456,765,95337,6568221,9.302246,True,high,7,probe_bottom15_structural_difference,473266,6094190,6089788
task173,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task173.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,181811,216,10108,182027,12.888090,True,high,2,probe_bottom15_structural_difference,175562,6249,6248
task233,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task233.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,5554132,142960,938774,5697092,9.444534,True,high,6,probe_bottom15_structural_difference,1674732,3879400,4010306
task243,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task243.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,1243112,32,23604,1243144,10.966846,True,high,5,probe_bottom15_structural_difference,110388,1132724,1132643
task255,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task255.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,43382402,17900,106804,43400302,7.414023,True,high,10,probe_bottom15_structural_difference,1826186,41556216,41429350
task285,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task285.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,181224052,2539,42591,181226591,5.984741,True,high,12,probe_bottom15_structural_difference,505928,180718124,180707048
task286,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task286.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,169972,1302,13714,171274,12.948980,True,high,1,probe_bottom15_structural_difference,163755,6217,6214
task366,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task366.onnx,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029,GOLF_20260607_002_public_6029_diff,high_risk_boundary_or_unknown,60592286,51979,1269927,60644265,7.079464,True,high,11,probe_bottom15_structural_difference,1098373,59493913,59540357
