task_id,candidate_model_path,source_id,source_exp_id,method_family,memory_footprint,parameter_count,file_size,cost_proxy,utility_proxy,local_valid,risk,candidate_rank,recommended_action
task001,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task001.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,1156,,,true,medium,1,submit_structural_pass_mix
task011,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task011.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,10404,,,true,medium,2,submit_structural_pass_mix
task015,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task015.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,2375,,,true,medium,3,submit_structural_pass_mix
task026,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task026.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,1551,,,true,medium,4,submit_structural_pass_mix
task043,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task043.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,1184,,,true,medium,5,submit_structural_pass_mix
task050,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task050.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,2033,,,true,medium,6,submit_structural_pass_mix
task052,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task052.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,1251,,,true,medium,7,submit_structural_pass_mix
task059,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task059.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,75448,,,true,medium,8,submit_structural_pass_mix
task062,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task062.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,16462,,,true,medium,9,submit_structural_pass_mix
task063,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task063.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,2197,,,true,medium,10,submit_structural_pass_mix
task070,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task070.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,7235,,,true,medium,11,submit_structural_pass_mix
task072,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task072.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,1623,,,true,medium,12,submit_structural_pass_mix
task073,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task073.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,2339,,,true,medium,13,submit_structural_pass_mix
task075,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task075.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,9237,,,true,medium,14,submit_structural_pass_mix
task076,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task076.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,21250,,,true,medium,15,submit_structural_pass_mix
task083,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task083.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,923,,,true,medium,16,submit_structural_pass_mix
task087,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task087.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,611,,,true,medium,17,submit_structural_pass_mix
task092,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task092.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,2049,,,true,medium,18,submit_structural_pass_mix
task095,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task095.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,729,,,true,medium,19,submit_structural_pass_mix
task098,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task098.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,1253,,,true,medium,20,submit_structural_pass_mix
task100,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task100.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,5697,,,true,medium,21,submit_structural_pass_mix
task108,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task108.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,4047,,,true,medium,22,submit_structural_pass_mix
task113,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task113.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,3957,,,true,medium,23,submit_structural_pass_mix
task117,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task117.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,30006,,,true,medium,24,submit_structural_pass_mix
task132,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task132.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,1988,,,true,medium,25,submit_structural_pass_mix
task135,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task135.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,453,,,true,medium,26,submit_structural_pass_mix
task136,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task136.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,7970,,,true,medium,27,submit_structural_pass_mix
task140,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task140.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,611,,,true,medium,28,submit_structural_pass_mix
task142,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task142.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,915,,,true,medium,29,submit_structural_pass_mix
task144,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task144.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,1559,,,true,medium,30,submit_structural_pass_mix
task146,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task146.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,1905,,,true,medium,31,submit_structural_pass_mix
task147,E:\kagglegolf\submissions\candidates\GOLF_20260607_004_public_notebook_full_replace\onnx\task147.onnx,SRC_KAGGLE_NOTEBOOK_BEICICC_6645,GOLF_20260608_004b_beicicc_structural_pass_mix,beicicc_structural_pass_harvest,,,1949,,,true,medium,32,submit_structural_pass_mix
