task_id,candidate_model_path,source_id,source_exp_id,method_family,memory_footprint,parameter_count,file_size,cost_proxy,utility_proxy,local_valid,risk,candidate_rank,recommended_action
task001,data\external\public_kernel_outputs\biohack_super_blend\_src_A\task001.onnx,SRC_KAGGLE_NOTEBOOK_BIOHACK_SUPER_BLEND,GOLF_20260608_006_biohack_super_blend_structural_pass_mix,biohack_partial_public_harvest,,,1433,1433,public_partial_output,true,medium,1,submit_mix
task002,data\external\public_kernel_outputs\biohack_super_blend\_src_A\task002.onnx,SRC_KAGGLE_NOTEBOOK_BIOHACK_SUPER_BLEND,GOLF_20260608_006_biohack_super_blend_structural_pass_mix,biohack_partial_public_harvest,,,15506,15506,public_partial_output,true,medium,2,submit_mix
task003,data\external\public_kernel_outputs\biohack_super_blend\_src_A\task003.onnx,SRC_KAGGLE_NOTEBOOK_BIOHACK_SUPER_BLEND,GOLF_20260608_006_biohack_super_blend_structural_pass_mix,biohack_partial_public_harvest,,,4167,4167,public_partial_output,true,medium,3,submit_mix
task004,data\external\public_kernel_outputs\biohack_super_blend\_src_A\task004.onnx,SRC_KAGGLE_NOTEBOOK_BIOHACK_SUPER_BLEND,GOLF_20260608_006_biohack_super_blend_structural_pass_mix,biohack_partial_public_harvest,,,2522,2522,public_partial_output,true,medium,4,submit_mix
task005,data\external\public_kernel_outputs\biohack_super_blend\_src_A\task005.onnx,SRC_KAGGLE_NOTEBOOK_BIOHACK_SUPER_BLEND,GOLF_20260608_006_biohack_super_blend_structural_pass_mix,biohack_partial_public_harvest,,,10910,10910,public_partial_output,true,medium,5,submit_mix
task006,data\external\public_kernel_outputs\biohack_super_blend\_src_A\task006.onnx,SRC_KAGGLE_NOTEBOOK_BIOHACK_SUPER_BLEND,GOLF_20260608_006_biohack_super_blend_structural_pass_mix,biohack_partial_public_harvest,,,1364,1364,public_partial_output,true,medium,6,submit_mix
task007,data\external\public_kernel_outputs\biohack_super_blend\_src_A\task007.onnx,SRC_KAGGLE_NOTEBOOK_BIOHACK_SUPER_BLEND,GOLF_20260608_006_biohack_super_blend_structural_pass_mix,biohack_partial_public_harvest,,,1603,1603,public_partial_output,true,medium,7,submit_mix
task008,data\external\public_kernel_outputs\biohack_super_blend\_src_A\task008.onnx,SRC_KAGGLE_NOTEBOOK_BIOHACK_SUPER_BLEND,GOLF_20260608_006_biohack_super_blend_structural_pass_mix,biohack_partial_public_harvest,,,7667,7667,public_partial_output,true,medium,8,submit_mix
task009,data\external\public_kernel_outputs\biohack_super_blend\_src_A\task009.onnx,SRC_KAGGLE_NOTEBOOK_BIOHACK_SUPER_BLEND,GOLF_20260608_006_biohack_super_blend_structural_pass_mix,biohack_partial_public_harvest,,,30956,30956,public_partial_output,true,medium,9,submit_mix
task010,data\external\public_kernel_outputs\biohack_super_blend\_src_A\task010.onnx,SRC_KAGGLE_NOTEBOOK_BIOHACK_SUPER_BLEND,GOLF_20260608_006_biohack_super_blend_structural_pass_mix,biohack_partial_public_harvest,,,6061,6061,public_partial_output,true,medium,10,submit_mix
