task_id,candidate_model_path,source_id,source_exp_id,method_family,memory_footprint,parameter_count,file_size,cost_proxy,utility_proxy,local_valid,risk,candidate_rank,recommended_action
task001,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task001.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,1001,1001,public_constraint_mix,true,medium,1,submit_mix
task002,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task002.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,28687,28687,public_constraint_mix,true,medium,2,submit_mix
task003,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task003.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,3904,3904,public_constraint_mix,true,medium,3,submit_mix
task004,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task004.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,4505,4505,public_constraint_mix,true,medium,4,submit_mix
task005,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task005.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,14885,14885,public_constraint_mix,true,medium,5,submit_mix
task006,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task006.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,1310,1310,public_constraint_mix,true,medium,6,submit_mix
task007,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task007.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,1385,1385,public_constraint_mix,true,medium,7,submit_mix
task008,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task008.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,4647,4647,public_constraint_mix,true,medium,8,submit_mix
task009,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task009.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,30710,30710,public_constraint_mix,true,medium,9,submit_mix
task010,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task010.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,6061,6061,public_constraint_mix,true,medium,10,submit_mix
task011,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task011.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,10283,10283,public_constraint_mix,true,medium,11,submit_mix
task012,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task012.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,1546,1546,public_constraint_mix,true,medium,12,submit_mix
task013,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task013.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,22727,22727,public_constraint_mix,true,medium,13,submit_mix
task014,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task014.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,3676,3676,public_constraint_mix,true,medium,14,submit_mix
task015,data\external\public_kernel_outputs\jonathan_zip\official_001_400\task015.onnx,SRC_KAGGLE_NOTEBOOK_JONATHAN_CONSTRAINT_MIX,GOLF_20260608_008_jonathan_constraint_logic_mix,jonathan_structural_pass_mix,,,3834,3834,public_constraint_mix,true,medium,15,submit_mix
