task_id,candidate_model_path,source_id,source_exp_id,method_family,memory_footprint,parameter_count,file_size,cost_proxy,utility_proxy,local_valid,risk,candidate_rank,recommended_action
task133,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task133.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,14130,,,true,medium,1,probe_first
task285,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task285.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,37371,,,true,medium,2,probe_first
task158,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task158.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,33661,,,true,medium,3,probe_first
task366,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task366.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,84301,,,true,medium,4,probe_first
task145,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task145.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,19982,,,true,medium,5,probe_first
task233,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task233.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,312152,,,true,medium,6,probe_first
task255,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task255.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,294338,,,true,medium,7,probe_first
task054,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task054.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,5551,,,true,medium,8,probe_first
task243,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task243.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,16567,,,true,medium,9,probe_first
task349,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task349.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,8427,,,true,medium,10,probe_first
task018,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task018.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,29205,,,true,medium,11,probe_first
task187,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task187.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,9705,,,true,medium,12,probe_first
task319,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task319.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,8028,,,true,medium,13,probe_first
task066,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task066.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,27538,,,true,medium,14,probe_first
task396,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task396.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,26549,,,true,medium,15,probe_first
task209,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task209.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,12442,,,true,medium,16,probe_first
task219,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task219.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,18397,,,true,medium,17,probe_first
task157,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task157.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,267944,,,true,medium,18,probe_first
task153,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task153.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,11725,,,true,medium,19,probe_first
task076,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task076.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,24619,,,true,medium,20,probe_first
task022,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task022.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,5021,,,true,medium,21,probe_first
task290,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task290.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,3323,,,true,medium,22,probe_first
task027,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task027.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,2073,,,true,medium,23,probe_first
task370,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task370.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,15444,,,true,medium,24,probe_first
task324,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task324.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,6861,,,true,medium,25,probe_first
task367,E:\kagglegolf\data\external\public_bundles\kojimar_6272_minimal_onnx_assets_v1\extracted\overrides\task367.onnx,SRC_KAGGLE_NOTEBOOK_KOJIMAR_6272_AUDITED_OVERRIDES,GOLF_20260608_025_kojimar_6272_full_replace,kojimar_6272_audited_override,,,9982,,,true,medium,26,probe_first
