"task_id","candidate_model_path","source_id","source_exp_id","method_family","memory_footprint","parameter_count","file_size","cost_proxy","utility_proxy","local_valid","risk","candidate_rank","recommended_action"
"task017","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task017.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","182","","440","","true","medium","1","submit_surgery_probe"
"task036","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task036.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","112","","18","","true","medium","2","submit_surgery_probe"
"task051","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task051.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","70","","8","","true","medium","3","submit_surgery_probe"
"task058","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task058.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","6426","","19","","true","medium","4","submit_surgery_probe"
"task065","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task065.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","63","","14","","true","medium","5","submit_surgery_probe"
"task080","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task080.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","217","","27","","true","medium","6","submit_surgery_probe"
"task096","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task096.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","937","","379","","true","medium","7","submit_surgery_probe"
"task115","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task115.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","77","","3","","true","medium","8","submit_surgery_probe"
"task117","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task117.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","157","","462","","true","medium","9","submit_surgery_probe"
"task128","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task128.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","84","","18","","true","medium","10","submit_surgery_probe"
"task134","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task134.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","80","","8","","true","medium","11","submit_surgery_probe"
"task206","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task206.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","90","","1","","true","medium","12","submit_surgery_probe"
"task245","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task245.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","96","","3","","true","medium","13","submit_surgery_probe"
"task255","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task255.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","141729","","899","","true","medium","14","submit_surgery_probe"
"task267","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task267.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","47","","48","","true","medium","15","submit_surgery_probe"
"task286","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task286.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","1302","","1","","true","medium","16","submit_surgery_probe"
"task357","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task357.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","40","","9","","true","medium","17","submit_surgery_probe"
"task358","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task358.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","337","","78","","true","medium","18","submit_surgery_probe"
"task382","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task382.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","382","","10","","true","medium","19","submit_surgery_probe"
"task383","E:\kagglegolf\data\interim\onnx_surgery\GOLF_20260608_029_seddik_surgery_6272\task383.onnx","SRC_KAGGLE_NOTEBOOK_SEDDIK_SURGICAL_ONNX","GOLF_20260608_029_seddik_surgery_6272","memory_first_seddik_surgery","","29","","899","","true","medium","20","submit_surgery_probe"
