task_id,present_in_public_zip,missing_reason,source_id,source_notebook,output_file_sha256,size_bytes,notes
task001,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,e268db0cade4a645bba4275f307a3ae00cbf29448bb96431595043cbb27a28a4,1199,public 7015 notebook output task file
task002,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,a326f6c3553610489e7fc86e397e9031b345df4a52d02c2568c2a637644d13b3,51346,public 7015 notebook output task file
task003,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,46a38818f8b54158bfee7cd02d5031b728bbc1a9c6320961a7664e88958f22eb,1442,public 7015 notebook output task file
task004,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,105f88774686d4459ce185808a6a34446761bca18b5743eb24b5616fb46e7b6d,2170,public 7015 notebook output task file
task005,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,4eb431e0721a314c309477df3f56e77e176925bef953cda6022a5f76c3ddb3bc,46645,public 7015 notebook output task file
task006,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,c59abe078271e1b9716a9cfcaa299391f7a73d012775c268342f00ac36e40794,877,public 7015 notebook output task file
task007,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,ee94f67c01b2af670919d608cdab2bd9611aa816f0d618d81945b3de27e3fabc,840,public 7015 notebook output task file
task008,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,020d59b82154d23b9d45e7abb6c20bbff42517308aea6208febfdd85e99ba658,3954,public 7015 notebook output task file
task009,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,c3f8e45ade47608d076cae0c79adc1ab934d9c559ab2e3f289c39f1329478415,7456,public 7015 notebook output task file
task010,true,,SRC_KAGGLE_NOTEBOOK_SAJAYR_7015,sajayr/neurogolf-7015,7221cdf57ead41beef3e200ead70890f187fe0f856ec2e8c23b5ebc215e0bbb7,3558,public 7015 notebook output task file
