generated_at,task_id,rule_family,rule_name,train_examples,train_pass_count,train_pass_rate,estimated_hidden_risk,source_basis,candidate_generator,candidate_onnx_path,local_validation_status,eligible_for_batch,notes
2026-06-11T22:44:18,task031,crop,crop_nonzero_bbox,3,3,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task031/simple_exact/crop_nonzero_bbox/task031.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""max_output_height"": 7, ""max_output_width"": 8, ""scale"": 1}; crop bounding box of nonzero cells"
2026-06-11T22:44:18,task087,rotation,rotate180,4,4,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task087/simple_exact/rotate180/task087.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""height"": 3, ""rotation"": ""rotate180"", ""width"": 3}; fixed input rectangle 3x3"
2026-06-11T22:44:18,task140,rotation,rotate180,2,2,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task140/simple_exact/rotate180/task140.onnx,pass: examples_checked=265; examples_failed=0,true,"params={""height"": 3, ""rotation"": ""rotate180"", ""width"": 3}; fixed input rectangle 3x3"
2026-06-11T22:44:18,task150,mirror,horizontal_mirror,3,3,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task150/simple_exact/horizontal_mirror/task150.onnx,pass: examples_checked=266; examples_failed=0,true,params={}; reverse valid columns
2026-06-11T22:44:18,task155,mirror,vertical_mirror,3,3,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task155/simple_exact/vertical_mirror/task155.onnx,pass: examples_checked=266; examples_failed=0,true,params={}; reverse valid rows
2026-06-11T22:44:18,task223,upscale,upscale_x3,2,2,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task223/simple_exact/upscale_x3/task223.onnx,pass: examples_checked=265; examples_failed=0,true,"params={""scale"": 3}; repeat pixels x3"
2026-06-11T22:44:18,task307,upscale,upscale_x2,3,3,1.0,low,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task307/simple_exact/upscale_x2/task307.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""scale"": 2}; repeat pixels x2"
2026-06-11T22:44:18,task036,object_crop,largest_object_crop,2,2,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task036/simple_exact/largest_object_crop/task036.onnx,pass: examples_checked=265; examples_failed=0,true,"params={""padding_index"": 29}; crop bounding box of largest 4-connected same-color object"
2026-06-11T22:44:18,task067,split,first_hsplit,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task067/simple_exact/first_hsplit/task067.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""parts"": 3}; keep first of 3 horizontal splits"
2026-06-11T22:44:18,task070,fill,fill_bounding_box,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task070/simple_exact/fill_bounding_box/task070.onnx,pass: examples_checked=266; examples_failed=0,true,"params={""fill_color"": 3, ""source_color"": 8}; fill non-source cells in color 8 bbox with 3"
2026-06-11T22:44:18,task097,cleanup,remove_isolated_pixels,4,4,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task097/simple_exact/remove_isolated_pixels/task097.onnx,pass: examples_checked=267; examples_failed=0,true,params={}; remove 8-neighbor isolated foreground
2026-06-11T22:44:18,task129,color_canvas,most_color_canvas,3,3,1.0,medium,official task train exact match plus local train/test/arc-gen validation,scripts/37_generate_simple_task_onnx.py,task_bank/tasks/task129/simple_exact/most_color_canvas/task129.onnx,pass: examples_checked=265; examples_failed=0,true,"params={""height"": 3, ""width"": 3}; fixed output canvas 3x3"
