task_id,train_examples,detected_rule_count,eligible_rule_count,best_rule_name,status,notes
task001,5,0,0,,no_simple_rule,
task002,5,0,0,,no_simple_rule,
task003,3,0,0,,no_simple_rule,
task004,2,0,0,,no_simple_rule,
task005,3,0,0,,no_simple_rule,
task006,3,0,0,,no_simple_rule,
task007,3,0,0,,no_simple_rule,
task008,3,0,0,,no_simple_rule,
task009,3,0,0,,no_simple_rule,
task010,2,0,0,,no_simple_rule,
task011,4,0,0,,no_simple_rule,
task012,2,0,0,,no_simple_rule,
task013,4,0,0,,no_simple_rule,
task014,3,1,0,,detected_but_rejected,least_color_crop=fail: examples_checked=266; examples_failed=4; example_failures:4
task015,3,0,0,,no_simple_rule,
task016,4,0,0,,no_simple_rule,
task017,3,0,0,,no_simple_rule,
task018,3,0,0,,no_simple_rule,
task019,4,0,0,,no_simple_rule,
task020,3,0,0,,no_simple_rule,
task021,3,0,0,,no_simple_rule,
task022,3,0,0,,no_simple_rule,
task023,3,0,0,,no_simple_rule,
task024,3,0,0,,no_simple_rule,
task025,3,0,0,,no_simple_rule,
task026,5,0,0,,no_simple_rule,
task027,3,0,0,,no_simple_rule,
task028,2,0,0,,no_simple_rule,
task029,3,0,0,,no_simple_rule,
task030,3,0,0,,no_simple_rule,
task031,3,4,3,crop_nonzero_bbox,eligible,
task032,3,0,0,,no_simple_rule,
task033,3,0,0,,no_simple_rule,
task034,4,0,0,,no_simple_rule,
task035,3,0,0,,no_simple_rule,
task036,2,2,1,largest_object_crop,eligible,least_color_crop=fail: examples_checked=265; examples_failed=83; example_failures:83
task037,3,0,0,,no_simple_rule,
task038,3,0,0,,no_simple_rule,
task039,2,0,0,,no_simple_rule,
task040,3,0,0,,no_simple_rule,
task041,3,0,0,,no_simple_rule,
task042,3,0,0,,no_simple_rule,
task043,3,0,0,,no_simple_rule,
task044,3,0,0,,no_simple_rule,
task045,3,0,0,,no_simple_rule,
task046,4,0,0,,no_simple_rule,
task047,2,0,0,,no_simple_rule,
task048,6,0,0,,no_simple_rule,
task049,5,1,0,,detected_but_rejected,least_color_crop=fail: examples_checked=268; examples_failed=5; example_failures:5
task050,8,0,0,,no_simple_rule,
task051,3,0,0,,no_simple_rule,
task052,4,0,0,,no_simple_rule,
task053,4,0,0,,no_simple_rule,
task054,3,0,0,,no_simple_rule,
task055,2,0,0,,no_simple_rule,
task056,7,0,0,,no_simple_rule,
task057,3,0,0,,no_simple_rule,
task058,5,0,0,,no_simple_rule,
task059,3,0,0,,no_simple_rule,
task060,2,0,0,,no_simple_rule,
task061,4,0,0,,no_simple_rule,
task062,4,0,0,,no_simple_rule,
task063,3,0,0,,no_simple_rule,
task064,4,0,0,,no_simple_rule,
task065,3,0,0,,no_simple_rule,
task066,3,0,0,,no_simple_rule,
task067,3,1,1,first_hsplit,eligible,
task068,3,0,0,,no_simple_rule,
task069,2,0,0,,no_simple_rule,
task070,3,1,1,fill_bounding_box,eligible,
task071,2,0,0,,no_simple_rule,
task072,4,0,0,,no_simple_rule,
task073,3,0,0,,no_simple_rule,
task074,4,0,0,,no_simple_rule,
task075,3,0,0,,no_simple_rule,
task076,3,0,0,,no_simple_rule,
task077,3,0,0,,no_simple_rule,
task078,3,0,0,,no_simple_rule,
task079,3,0,0,,no_simple_rule,
task080,3,0,0,,no_simple_rule,
task081,2,0,0,,no_simple_rule,
task082,2,0,0,,no_simple_rule,
task083,3,0,0,,no_simple_rule,
task084,3,0,0,,no_simple_rule,
task085,2,0,0,,no_simple_rule,
task086,3,0,0,,no_simple_rule,
task087,4,1,1,rotate180,eligible,
task088,4,0,0,,no_simple_rule,
task089,4,0,0,,no_simple_rule,
task090,4,0,0,,no_simple_rule,
task091,3,0,0,,no_simple_rule,
task092,2,0,0,,no_simple_rule,
task093,3,0,0,,no_simple_rule,
task094,2,0,0,,no_simple_rule,
task095,2,0,0,,no_simple_rule,
task096,3,0,0,,no_simple_rule,
task097,4,1,1,remove_isolated_pixels,eligible,
task098,3,0,0,,no_simple_rule,
task099,3,0,0,,no_simple_rule,
task100,3,0,0,,no_simple_rule,
task101,3,0,0,,no_simple_rule,
task102,4,0,0,,no_simple_rule,
task103,6,0,0,,no_simple_rule,
task104,2,0,0,,no_simple_rule,
task105,3,0,0,,no_simple_rule,
task106,3,0,0,,no_simple_rule,
task107,3,0,0,,no_simple_rule,
task108,3,0,0,,no_simple_rule,
task109,3,0,0,,no_simple_rule,
task110,3,0,0,,no_simple_rule,
task111,3,0,0,,no_simple_rule,
task112,3,0,0,,no_simple_rule,
task113,2,0,0,,no_simple_rule,
task114,3,0,0,,no_simple_rule,
task115,3,0,0,,no_simple_rule,
task116,4,0,0,,no_simple_rule,
task117,3,0,0,,no_simple_rule,
task118,4,0,0,,no_simple_rule,
task119,3,0,0,,no_simple_rule,
task120,3,0,0,,no_simple_rule,
task121,3,0,0,,no_simple_rule,
task122,3,0,0,,no_simple_rule,
task123,3,0,0,,no_simple_rule,
task124,3,0,0,,no_simple_rule,
task125,2,0,0,,no_simple_rule,
task126,3,0,0,,no_simple_rule,
task127,4,0,0,,no_simple_rule,
task128,3,0,0,,no_simple_rule,
task129,3,1,1,most_color_canvas,eligible,
task130,2,0,0,,no_simple_rule,
task131,3,0,0,,no_simple_rule,
task132,4,0,0,,no_simple_rule,
task133,4,0,0,,no_simple_rule,
task134,3,0,0,,no_simple_rule,
task135,4,0,0,,no_simple_rule,
task136,3,0,0,,no_simple_rule,
task137,3,0,0,,no_simple_rule,
task138,3,0,0,,no_simple_rule,
task139,2,0,0,,no_simple_rule,
task140,2,1,1,rotate180,eligible,
task141,3,0,0,,no_simple_rule,
task142,3,0,0,,no_simple_rule,
task143,3,0,0,,no_simple_rule,
task144,4,0,0,,no_simple_rule,
task145,4,0,0,,no_simple_rule,
task146,4,0,0,,no_simple_rule,
task147,4,0,0,,no_simple_rule,
task148,3,0,0,,no_simple_rule,
task149,4,0,0,,no_simple_rule,
task150,3,1,1,horizontal_mirror,eligible,
task151,3,0,0,,no_simple_rule,
task152,4,0,0,,no_simple_rule,
task153,3,0,0,,no_simple_rule,
task154,3,0,0,,no_simple_rule,
task155,3,1,1,vertical_mirror,eligible,
task156,2,0,0,,no_simple_rule,
task157,2,0,0,,no_simple_rule,
task158,3,0,0,,no_simple_rule,
task159,3,0,0,,no_simple_rule,
task160,2,0,0,,no_simple_rule,
task161,3,0,0,,no_simple_rule,
task162,3,0,0,,no_simple_rule,
task163,4,0,0,,no_simple_rule,
task164,4,0,0,,no_simple_rule,
task165,3,0,0,,no_simple_rule,
task166,3,1,1,fill_bounding_box,eligible,
task167,5,0,0,,no_simple_rule,
task168,2,0,0,,no_simple_rule,
task169,3,0,0,,no_simple_rule,
task170,3,0,0,,no_simple_rule,
task171,4,0,0,,no_simple_rule,
task172,4,0,0,,no_simple_rule,
task173,3,0,0,,no_simple_rule,
task174,3,0,0,,no_simple_rule,
task175,3,0,0,,no_simple_rule,
task176,3,0,0,,no_simple_rule,
task177,3,0,0,,no_simple_rule,
task178,5,0,0,,no_simple_rule,
task179,4,0,0,,no_simple_rule,
task180,5,0,0,,no_simple_rule,
task181,3,0,0,,no_simple_rule,
task182,4,0,0,,no_simple_rule,
task183,3,0,0,,no_simple_rule,
task184,3,0,0,,no_simple_rule,
task185,4,0,0,,no_simple_rule,
task186,10,0,0,,no_simple_rule,
task187,3,0,0,,no_simple_rule,
task188,3,0,0,,no_simple_rule,
task189,3,0,0,,no_simple_rule,
task190,3,0,0,,no_simple_rule,
task191,4,0,0,,no_simple_rule,
task192,2,0,0,,no_simple_rule,
task193,3,0,0,,no_simple_rule,
task194,3,0,0,,no_simple_rule,
task195,3,0,0,,no_simple_rule,
task196,3,0,0,,no_simple_rule,
task197,4,0,0,,no_simple_rule,
task198,3,0,0,,no_simple_rule,
task199,3,0,0,,no_simple_rule,
task200,3,0,0,,no_simple_rule,
task201,4,0,0,,no_simple_rule,
task202,4,0,0,,no_simple_rule,
task203,4,0,0,,no_simple_rule,
task204,5,0,0,,no_simple_rule,
task205,3,0,0,,no_simple_rule,
task206,3,0,0,,no_simple_rule,
task207,3,0,0,,no_simple_rule,
task208,3,0,0,,no_simple_rule,
task209,3,0,0,,no_simple_rule,
