task_id,source_6154_model,source_6029_model,onnx_load_6154,onnx_load_6029,file_size_6154,file_size_6029,node_count_6154,node_count_6029,initializer_count_6154,initializer_count_6029,parameter_bytes_6154,parameter_bytes_6029,memory_footprint_proxy_6154,memory_footprint_proxy_6029,estimated_cost_6154,estimated_cost_6029,estimated_utility_6154,estimated_utility_6029,delta_memory,delta_cost,delta_utility,banned_ops_6154,banned_ops_6029,risk,recommendation,recommended_action,source_id
task001,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task001.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task001.onnx,True,True,1433,1433,12,12,4,4,148,148,4463,4463,4487,4487,16.591060,16.591060,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task002,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task002.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task002.onnx,True,True,15506,15506,95,95,32,32,1472,1472,98672,98672,99165,99165,13.495460,13.495460,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task003,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task003.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task003.onnx,True,True,4167,4167,39,39,10,10,64,64,10090,10090,10100,10100,15.779709,15.779709,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task004,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task004.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task004.onnx,True,True,2522,2522,4,4,4,4,2040,2040,56040,56040,57060,57060,14.048141,14.048141,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task005,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task005.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task005.onnx,True,True,10910,10910,106,106,19,19,708,708,117597,119361,117933,119697,13.322128,13.307281,1764,1764,-0.014847,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task006,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task006.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task006.onnx,True,True,1364,1364,10,10,10,10,292,292,2164,2164,2211,2211,17.298800,17.298800,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task007,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task007.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task007.onnx,True,True,1603,1603,13,13,13,13,240,240,9440,9440,9471,9471,15.844010,15.844010,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task008,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task008.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task008.onnx,True,True,7667,7667,78,78,21,21,321,321,23549,23805,23610,23866,14.930574,14.919790,256,256,-0.010785,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task009,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task009.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task009.onnx,True,True,30956,30956,22,22,6,6,29306,29306,106706,106706,110547,110547,13.386804,13.386804,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task010,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task010.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task010.onnx,True,True,6061,6061,58,58,26,26,444,444,8609,8609,8686,8686,15.930532,15.930532,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task011,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task011.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task011.onnx,True,True,10170,10170,52,52,22,22,4734,4734,68650,68650,70981,70981,13.829832,13.829832,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task012,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task012.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task012.onnx,True,True,1975,1948,15,15,14,13,494,485,13030,14453,13134,14555,15.517040,15.414310,1423,1421,-0.102730,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task013,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task013.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task013.onnx,True,True,18384,18384,91,91,16,16,4538,4538,119163,119163,121420,121420,13.292989,13.292989,0,0,0.000000,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
task014,E:\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task014.onnx,E:\kagglegolf\data\external\public_bundles\jsrdcht_6029_submission_bundle\extracted\task014.onnx,True,True,9683,14357,46,166,20,0,7024,1760,79087,237032,83104,237448,13.672152,12.622296,157945,154344,-1.049856,,,medium,hold,keep_6154,SRC_KAGGLE_NOTEBOOK_JSRDCHT_6029
