task_id,source_id,source_type,model_path,notes
task001,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task001.onnx,GOLF_20260607_001_public_6154_repro
task002,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task002.onnx,GOLF_20260607_001_public_6154_repro
task003,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task003.onnx,GOLF_20260607_001_public_6154_repro
task004,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task004.onnx,GOLF_20260607_001_public_6154_repro
task005,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task005.onnx,GOLF_20260607_001_public_6154_repro
task006,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task006.onnx,GOLF_20260607_001_public_6154_repro
task007,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task007.onnx,GOLF_20260607_001_public_6154_repro
task008,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task008.onnx,GOLF_20260607_001_public_6154_repro
task009,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task009.onnx,GOLF_20260607_001_public_6154_repro
task010,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task010.onnx,GOLF_20260607_001_public_6154_repro
task011,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task011.onnx,GOLF_20260607_001_public_6154_repro
task012,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task012.onnx,GOLF_20260607_001_public_6154_repro
task013,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task013.onnx,GOLF_20260607_001_public_6154_repro
task014,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task014.onnx,GOLF_20260607_001_public_6154_repro
task015,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task015.onnx,GOLF_20260607_001_public_6154_repro
task016,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task016.onnx,GOLF_20260607_001_public_6154_repro
task017,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task017.onnx,GOLF_20260607_001_public_6154_repro
task018,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task018.onnx,GOLF_20260607_001_public_6154_repro
task019,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task019.onnx,GOLF_20260607_001_public_6154_repro
task020,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task020.onnx,GOLF_20260607_001_public_6154_repro
task021,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task021.onnx,GOLF_20260607_001_public_6154_repro
task022,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task022.onnx,GOLF_20260607_001_public_6154_repro
task023,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task023.onnx,GOLF_20260607_001_public_6154_repro
task024,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task024.onnx,GOLF_20260607_001_public_6154_repro
task025,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task025.onnx,GOLF_20260607_001_public_6154_repro
task026,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task026.onnx,GOLF_20260607_001_public_6154_repro
task027,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task027.onnx,GOLF_20260607_001_public_6154_repro
task028,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task028.onnx,GOLF_20260607_001_public_6154_repro
task029,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task029.onnx,GOLF_20260607_001_public_6154_repro
task030,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task030.onnx,GOLF_20260607_001_public_6154_repro
task031,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task031.onnx,GOLF_20260607_001_public_6154_repro
task032,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task032.onnx,GOLF_20260607_001_public_6154_repro
task033,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task033.onnx,GOLF_20260607_001_public_6154_repro
task034,SRC_KAGGLE_NOTEBOOK_OCTAVIO_6154,candidate,E:\Jitter\kagglegolf\submissions\candidates\GOLF_20260607_001_public_6154_repro\onnx\task034.onnx,GOLF_20260607_001_public_6154_repro
